,question,choices,answer,unit,table_title,table,table_for_pd,row_num,column_num,solution,ques_type,ans_type,grade,split,cluster,index
7812,Caleb's class recorded how many states each student has visited. What is the median of the numbers?,,8,,States visited,"Name | Number of states
Caleb | 8
Desmond | 8
Gwen | 4
Sasha | 9
Baldwin | 9","{'Name': ['Caleb', 'Desmond', 'Gwen', 'Sasha', 'Baldwin'], 'Number of states': ['8', '8', '4', '9', '9']}",6,2,"Read the numbers from the table.

8, 8, 4, 9, 9

First, arrange the numbers from least to greatest:

4, 8, 8, 9, 9

Now find the number in the middle.

4, 8, 8, 9, 9

The number in the middle is 8.

The median is 8.",free_text,integer_number,7,train,0,13078
16491,A statistics lab required students to draw cards numbered between 1 and 6 and track the results. Which number was drawn the most times?,,4,,Drawing a number between 1 and 6,"Number drawn | Frequency
1 | 10
2 | 7
3 | 11
4 | 17
5 | 13
6 | 3","{'Number drawn': ['1', '2', '3', '4', '5', '6'], 'Frequency': ['10', '7', '11', '17', '13', '3']}",7,2,"Look at the frequency column. Find the greatest frequency. The greatest frequency is 17, which is in the row for 4. 4 was drawn the most times.",free_text,integer_number,8,train,1,15734
38244,How much money does Jada need to buy spaghetti and meatballs and grilled eggplant?,,10,$,,"pasta with tomato sauce | $5.00
spaghetti and meatballs | $4.00
steamed broccoli | $6.00
green salad | $4.00
grilled eggplant | $6.00
cheese pizza | $4.00","{'Column 1': ['pasta with tomato sauce', 'spaghetti and meatballs', 'steamed broccoli', 'green salad', 'grilled eggplant', 'cheese pizza'], 'Column 2': ['$5.00', '$4.00', '$6.00', '$4.00', '$6.00', '$4.00']}",6,2,"Add the price of spaghetti and meatballs and the price of grilled eggplant:

$4.00 + $6.00 = $10.00

Jada needs $10.00.",free_text,integer_number,4,train,2,6215
3297,Look at this table. Is this relation a function?,"['yes', 'no']",no,,,"x | y
3 | 16
0 | 20
3 | 19","{'x': ['3', '0', '3'], 'y': ['16', '20', '19']}",4,2,"Look at the x-values in the table.

The x-value 3 is paired with multiple y-values, so the relation is not a function.",multi_choice,boolean_text,8,train,3,669
3037,Look at the following schedule. When does the Tigers versus Wolves game end?,"['3:15 P.M.', '12:45 P.M.', '1:10 P.M.', '11:55 A.M.']",11:55 A.M.,,Soccer tournament schedule,"Game | Begin | End
Hawks versus Jaguars | 10:10 A.M. | 11:40 A.M.
Tigers versus Wolves | 10:25 A.M. | 11:55 A.M.
Waves versus Alligators | 11:15 A.M. | 12:45 P.M.
Cardinals versus Cobras | 11:40 A.M. | 1:10 P.M.
Fire versus Blizzard | 12:55 P.M. | 2:25 P.M.
Dolphins versus Bears | 1:25 P.M. | 2:55 P.M.
Thunder versus Eagles | 1:45 P.M. | 3:15 P.M.","{'Game': ['Hawks versus Jaguars', 'Tigers versus Wolves', 'Waves versus Alligators', 'Cardinals versus Cobras', 'Fire versus Blizzard', 'Dolphins versus Bears', 'Thunder versus Eagles'], 'Begin': ['10:10 A.M.', '10:25 A.M.', '11:15 A.M.', '11:40 A.M.', '12:55 P.M.', '1:25 P.M.', '1:45 P.M.'], 'End': ['11:40 A.M.', '11:55 A.M.', '12:45 P.M.', '1:10 P.M.', '2:25 P.M.', '2:55 P.M.', '3:15 P.M.']}",8,3,"Find the Tigers versus Wolves game on the schedule. Find the end time for the Tigers versus Wolves game.

Tigers versus Wolves: 11:55 A. M.",multi_choice,extractive_text,3,train,4,4264
18078,An archer recalled how many times he hit the bull's-eye in the past 5 days. What is the mean of the numbers?,,4,,Bull's-eyes,"Day | Number of bull's-eyes
Thursday | 5
Friday | 4
Saturday | 4
Sunday | 2
Monday | 5","{'Day': ['Thursday', 'Friday', 'Saturday', 'Sunday', 'Monday'], ""Number of bull's-eyes"": ['5', '4', '4', '2', '5']}",6,2,"Read the numbers from the table.

5, 4, 4, 2, 5

First, count how many numbers are in the group.

There are 5 numbers.

Now add all the numbers together:

5 + 4 + 4 + 2 + 5 = 20

Now divide the sum by the number of numbers:

20 ÷ 5 = 4

The mean is 4.",free_text,integer_number,8,train,0,12863
27751,An agricultural agency is researching how much cheese people have been eating in different parts of the world. How much cheese was consumed per capita in Canada in 2006?,,11,kg,Cheese consumption per capita (kg),"Country | 1996 | 2006
Austria | 10 | 17
Canada | 10 | 11
Argentina | 11 | 11","{'Column 1': ['Country', 'Austria', 'Canada', 'Argentina'], 'Column 2': ['1996', '10', '10', '11'], 'Column 3': ['2006', '17', '11', '11']}",4,3,"First, find the row for Canada. Then find the number in the 2006 column.

This number is 11. In 2006, people in Canada consumed 11 kilograms of cheese per capita.",free_text,integer_number,5,train,1,7434
21075,What is the total cost for 5 kilograms of yellow bananas?,,5.20,$,,"Cavendish bananas | $0.87/kg
yellow bananas | $1.04/kg
pink bananas | $1.00/kg
plantains | $0.45/kg
bananitos | $1.11/kg","{'Column 1': ['Cavendish bananas', 'yellow bananas', 'pink bananas', 'plantains', 'bananitos'], 'Column 2': ['$0.87/kg', '$1.04/kg', '$1.00/kg', '$0.45/kg', '$1.11/kg']}",5,2,"Find the cost of the yellow bananas. Multiply the price per kilogram by the number of kilograms.

$1.04 × 5 = $5.20

The total cost is $5.20.",free_text,decimal_number,7,train,2,14733
5468,"Look at the table. Then answer the question. At a price of $860, is there a shortage or a surplus?","['shortage', 'surplus']",surplus,,,"Price | Quantity demanded | Quantity supplied
$140 | 22,500 | 4,000
$320 | 20,000 | 8,100
$500 | 17,500 | 12,200
$680 | 15,000 | 16,300
$860 | 12,500 | 20,400","{'Price': ['$140', '$320', '$500', '$680', '$860'], 'Quantity demanded': ['22,500', '20,000', '17,500', '15,000', '12,500'], 'Quantity supplied': ['4,000', '8,100', '12,200', '16,300', '20,400']}",6,3,"At the price of $860, the quantity demanded is less than the quantity supplied. There is too much of the good or service for sale at that price. So, there is a surplus.
",multi_choice,boolean_text,5,train,3,14055
36111,Look at the following schedule. When does the jump rope race begin?,"['1:30 P.M.', '3:20 P.M.', '4:10 P.M.', '2:15 P.M.']",1:30 P.M.,,Field day schedule,"Event | Begin | End
egg relay | 11:45 A.M. | 12:30 P.M.
water balloon toss | 12:40 P.M. | 1:20 P.M.
jump rope race | 1:30 P.M. | 2:10 P.M.
obstacle course | 2:15 P.M. | 3:15 P.M.
hula hoop contest | 3:20 P.M. | 4:00 P.M.
three-legged race | 4:10 P.M. | 5:00 P.M.","{'Event': ['egg relay', 'water balloon toss', 'jump rope race', 'obstacle course', 'hula hoop contest', 'three-legged race'], 'Begin': ['11:45 A.M.', '12:40 P.M.', '1:30 P.M.', '2:15 P.M.', '3:20 P.M.', '4:10 P.M.'], 'End': ['12:30 P.M.', '1:20 P.M.', '2:10 P.M.', '3:15 P.M.', '4:00 P.M.', '5:00 P.M.']}",7,3,"Find the jump rope race on the schedule. Find the beginning time for the jump rope race.

jump rope race: 1:30 P. M.",multi_choice,extractive_text,3,train,4,6384
