,id,question,answer,facts,decomposition,cluster,index
1631,d808a0c72dbe605309ab,Does Felix Potvin have a position on a dodgeball team?,No,"['Felix Potvin was an NHL goaltender', 'There is no goalie position on a dodgeball team']","['Which sport and position did Félix Potvin play as a professional sportsman?', 'Is #1 the same as or required in dodgeball?']",0,383
1562,7f4effbc97ab2b5fd4a7,Could an American confuse breakfast in British cuisine for dinner?,Yes,"['In British Cuisine, baked beans are served with toast for breakfast.', 'In the US, baked beans are served alongside barbecue dinners.', ""British 'Full breakfasts' include grilled vegetables like mushrooms and whole cherry tomatoes."", 'Grilled mushrooms and tomatoes are used more often in evening dishes in the US.']","['What foods are part of a traditional British breakfast?', 'What foods are part of a traditional American dinner?', 'Is there overlap between #1 and #2?']",1,472
232,1977a974cf1b946ea1e5,If someone loves buffalo wings do they enjoy capsaicin?,Yes,"['Buffalo wings are fried chicken wings covered in a spicy sauce.', 'Spicy foods are provided their spice from capsaicin from peppers.']","['What sauce is used on buffalo wings?', 'What is the flavor of #1', 'Is capsaicin used to create #2?']",2,1760
771,515231a39af241acbf14,Does Southwest Airlines use bulk carriers?,Yes,"['Southwest Airlines requires jet fuel, which is brought in by bulk carrier transport.', 'Southwest Airlines requires glycol for de-icing their planes, which is brought in by bulk transport.']","['Which vehicles does Southwest Airlines use to provide their services?', 'What are some common products needed for the running and maintenance of #1?', 'Would Southwest Airlines require #2 in quantities large enough for bulk carriers?']",3,789
1167,fab710522fe2f188579d,Could Buzz Aldrin have owned a computer?,Yes,"['Buzz Aldrin was born in 1930 and is still alive in 2020. ', 'Home computers were first available for sale in 1977. ']","['When were personal computers made available to the public?', 'When was Buzz Aldrin born?', 'Is #2 well before #1?']",4,876
8,f231532fe17fd971d1e6,Is a Boeing 737 cost covered by Wonder Woman (2017 film) box office receipts?,Yes,"['The average cost of a US Boeing 737 plane is 1.6 million dollars.', 'Wonder Woman (2017 film) grossed over 800 million dollars at the box office.']","['How much does a Boeing 737 cost?', 'How much did the 2017 movie Wonder Woman gross?', 'Is #2 greater than #1?']",0,1641
1168,15271da5457a404509c4,Can a cheetah generate enough force to topple Big Show?,Yes,"['Big Show is a professional wrestler that weighs 383 pounds.', 'Force is equal to mass times acceleration.', 'An adult Cheetah weighs around 160 pounds.', 'An adult Cheetah can run up to 58 MPH.']","['How much does Big Show weigh?', 'How much does a cheetah weigh?', 'How fast can a cheetah run?', 'Is the force produced by a mass of #2 and a speed of #3 enough to knock over something that weighs #1?']",1,930
335,58be99559ef0ccdbb36c,Do restaurants associate meatballs with the wrong country of origin?,Yes,"['Spaghetti and meatballs are a staple on Italian pizzeria menus in the US.', 'The Olive Garden, an Italian family restaurant, has several dishes with meatballs.', 'Meatballs originated in the Chinese Qin dynasty (221 BC to 207 BC).']","['In what country is the oldest evidence of people eating meatballs found?', 'What dish involving meatballs became popular in the United States after being invented in New York City in the 20th century?', 'With which national cuisine do Americans typically associate #2?', 'Are #3 and #1 different?']",2,578
1705,b6cebe14a6b32222ad1b,Can you give at least one word from the Torah to all residents of Bunkie Louisiana?,Yes,"['Torah scrolls must be duplicated precisely by a trained scribe.', 'The Torah has a total of 8,674 words.', 'The population of Bunkie Louisiana is 3,939 people according to a 2018 census.']","['How many words are in the Torah?', 'How many residents does Bunkie, Louisiana have?', 'Is #1 greater than #2?']",3,844
212,65557713351aed7519b8,Could someone have arrived at Wrestlemania X in a Toyota Prius?,No,"['Wrestlemania X took place in 1994', 'The Toyota Prius was first manufactured in 1997']","['When did Wrestlemania X hold?', 'When was the Toyota Prius first manufactured?', 'Is #2 before #1?']",4,188
1926,14f5ccb693d62b4397ee,Is Christopher Walken close to achieving EGOT status?,No,"['EGOT refers to people that have won an Emmy, a Grammy, an Oscar, and a Tony Award.', 'Christopher Walken won the Oscar in 1979 for Best Actor in a Supporting Role.', 'Christopher Walken was nominated for two Tony Awards but has never won.', 'Christopher Walken was nominated for an Emmy Award but has never won.', 'Christopher Walken has never been nominated for a Grammy.']","['What awards are included in EGOT?', 'What entertainment awards has Christopher Walken won?', 'Do the awards listed in #2 belong to at least 3 different awards listed in #1?']",0,1762
229,1051df8b6730dcd1b34f,Would a customer be happy if their grocery store meat tasted like game?,No,"['""Gamey"" is a word used to describe meat with a grassier, more wild taste.', 'Gaminess in supermarket meat is very unusual.', 'Many people find game to be unpleasant in taste.']","['Which kind of meat is referred to as game?', 'Are grocery store customers accustomed to #1?']",1,93
1864,e6fc47d0cb907a7ee266,Is strep throat harmless to singer Rita Ora after her 2020 tonsilitis surgery?,No,"['Tonsilitis is an inflammation of the tonsils.', 'Singer Rita Ora had her tonsils removed in February of 2020 due to tonsilitis.', 'Strep throat can still grow in the throat of people without tonsils.']","['What causes strep throat?', 'Does #1 only flourish when tonsils are present?']",2,655
771,515231a39af241acbf14,Does Southwest Airlines use bulk carriers?,Yes,"['Southwest Airlines requires jet fuel, which is brought in by bulk carrier transport.', 'Southwest Airlines requires glycol for de-icing their planes, which is brought in by bulk transport.']","['Which vehicles does Southwest Airlines use to provide their services?', 'What are some common products needed for the running and maintenance of #1?', 'Would Southwest Airlines require #2 in quantities large enough for bulk carriers?']",3,789
