,question,options,rationale,correct,cluster,index
64116,"The game of blackjack is played with a deck consisting of 13 cards (one of each of the numbers 2-10, one jack, one queen, one king, and one of ace) in each of four suits: clubs, diamonds, hearts, and spades.
In a game of blackjack, if your first card is a spade, what are the W odds that it is an ace?","['A)1/52', 'B)1/26', 'C)1/13', 'D)1/4', 'E)5/13']","The question should ask about the probability not the odds.
There are 13 spades, the probability W that the spade we already have is an ace is therefore 1/13.
Answer: C.",C,0,55
70440,The area of an isosceles trapezoid with sides of length 5 and bases of length 10 and 16 is?,"['A)48', 'B)40', 'C)52', 'D)54', 'E)58']","Isosceles trapezoid indicates that if we draw perpendicular from two vertex of the smaller side, the longer side with side 16 will be divided into 3 parts= 10, 3 and 3 (Making one square and two right triangles)
For the right triangle, height will be= (5^2-3^2)^1/2= 4
And the area of trapezoid = 1/2 (B1+B2)H= 1/2*26*4= 52
C is the answer",C,1,46523
66761,"A train speeds past a pole in 15 sec and a platform 110 m long in 25 sec, its length is?","['A)165', 'B)150', 'C)988', 'D)177', 'E)171']","Let the length of the train be x m and its speed be y m/sec.
Then, x/y = 15 => y = x/15
(x + 110)/25 = x/15 => x = 165 m.
Answer: A",A,2,47952
70540,"If x is an odd integer, which of the following is an odd integer?","['A)2x+2', 'B)x^2', 'C)2x+4x', 'D)1+2x+x^2', 'E)3x-1']","Plug in an odd integer; in this case 3
(2*3)+2 = 8 Even
3^2 = 9 Odd
(2*3)+(4*3) = 6 + 12 = 18 Even
1+(2*3)+3^2 = 1+ 6 + 9 = 16 Even
(3*3)-1 = 9 - 1 = 8 Even
Answer: B",B,3,48318
30116,"A person spends 40% of his salary on food, 25% on house rent, 15% on entertainment and 5% on conveyance. If his savings at the end of the month is Rs. 2700, then his salary per month in rupees is:","['A)4000', 'B)6000', 'C)18000', 'D)10000', 'E)None of these']","Total expenditure = 40 + 25 + 15 + 5 = 85%
Saving = (100 - 85) = 15%
15/100 × Salary = 2700, Salary = 18000 Rs.
Answer:C.",C,4,64268
90926,The average age of three boys is 15 years and their ages are in proportion 3:5:7. What is the age in years of the youngest boy?,"['A)9', 'B)10', 'C)11', 'D)12', 'E)13']","Explanation:
3x + 5x + 7x = 45
x =3
3x = 9
A)",A,0,1469
18780,"Can you deduce the pattern and find the next number in the series?
6, 14, 26, 98, __?","['A)276', 'B)277', 'C)278', 'D)279', 'E)None of these']","Solution:
276
Explanation:
6 = 1^1 + 2^1 + 3^1
14 = 1^2 + 2^2 + 3^2
36 = 1^3 + 2^3 + 3^3
98 = 1^4 + 2^4 + 3^4
Thus the next number will be
1^5 + 2^5 + 3^5 = 276
Answer A",A,1,29560
77054,"In covering a distance of 42 km, A takes 2 hours more than B. If A doubles his speed, then he would take 1 hour less than B. A's speed is:","['A)5 km/h', 'B)7 km/h', 'C)10 km/h', 'D)15 km/h', 'E)25 km/h']","Let A's speed be X km/hr.
Then, 42/x - 42/2x = 3
6x = 42
x = 7 km/hr.
Answer : B.",B,2,11108
54611,Let the number which when multiplied by 15 is increased by 196.,"['A)14', 'B)20', 'C)26', 'D)28', 'E)30']","Solution
Let the number be x .
Then, 15x - x = 196
‹=›14x = 196
x ‹=› 14.
Answer A",A,3,22115
37309,"A certain sum of money at simple interest amounted Rs.980 in 3 years at 5% per annum, find the sum?","['A)867', 'B)855', 'C)299', 'D)852', 'E)903']","980 = P [1 + (3*5)/100]
P = 852
Answer: D",D,4,40669
