,id,question,answer,facts,decomposition,cluster,index
1631,d808a0c72dbe605309ab,Does Felix Potvin have a position on a dodgeball team?,No,"['Felix Potvin was an NHL goaltender', 'There is no goalie position on a dodgeball team']","['Which sport and position did Félix Potvin play as a professional sportsman?', 'Is #1 the same as or required in dodgeball?']",0,383
1562,7f4effbc97ab2b5fd4a7,Could an American confuse breakfast in British cuisine for dinner?,Yes,"['In British Cuisine, baked beans are served with toast for breakfast.', 'In the US, baked beans are served alongside barbecue dinners.', ""British 'Full breakfasts' include grilled vegetables like mushrooms and whole cherry tomatoes."", 'Grilled mushrooms and tomatoes are used more often in evening dishes in the US.']","['What foods are part of a traditional British breakfast?', 'What foods are part of a traditional American dinner?', 'Is there overlap between #1 and #2?']",1,472
232,1977a974cf1b946ea1e5,If someone loves buffalo wings do they enjoy capsaicin?,Yes,"['Buffalo wings are fried chicken wings covered in a spicy sauce.', 'Spicy foods are provided their spice from capsaicin from peppers.']","['What sauce is used on buffalo wings?', 'What is the flavor of #1', 'Is capsaicin used to create #2?']",2,1760
771,515231a39af241acbf14,Does Southwest Airlines use bulk carriers?,Yes,"['Southwest Airlines requires jet fuel, which is brought in by bulk carrier transport.', 'Southwest Airlines requires glycol for de-icing their planes, which is brought in by bulk transport.']","['Which vehicles does Southwest Airlines use to provide their services?', 'What are some common products needed for the running and maintenance of #1?', 'Would Southwest Airlines require #2 in quantities large enough for bulk carriers?']",3,789
1167,fab710522fe2f188579d,Could Buzz Aldrin have owned a computer?,Yes,"['Buzz Aldrin was born in 1930 and is still alive in 2020. ', 'Home computers were first available for sale in 1977. ']","['When were personal computers made available to the public?', 'When was Buzz Aldrin born?', 'Is #2 well before #1?']",4,876
669,e26a5601edb90a738d56,Will Futurama surpass the number of episodes of The Simpsons by the end of 2020?,No,"['Futurama was cancelled in 2013.', 'The Simpsons is still creating new episodes as of May 2020.', 'Futurama aired 140 total episodes.', 'The Simpsons has aired over 600 episodes.']","['How many episodes of Futurama have been produced to date?', 'How many episodes of the Simpsons has been produced to date?', 'Is #1 greater than #2?']",0,81
345,73defbf5e28a5bacdb7d,Would it be difficult to host Stanley Cup Finals at Rock in Rio?,Yes,"['The Stanley Cup Finals is the last series in hockey each year.', 'Hockey rinks are indoors and require ice for players to skate on.', 'Rock in Rio is a massive outdoor music festival in Brazil.', 'Rock in Rio takes place in June each year.', 'The temperature in Brazil during June averages around 80F.']","['Which sport has the Stanley Cup Finals?', 'Which kind of surface is required to play #1?', 'What time of the year does Rock in Rio take place, and where?', 'Do weather conditions in #3 at that time not favor the formation of #2?']",1,977
49,3d01af5db202bc7d33b9,Would someone in Mumbai refer to Solanum melongena as an eggplant?,No,"['Mumbia is a city in India.', 'India is a country located in South Asia.', 'In South Asia the Solanum melongena plant is referred to as a brinjal.']","['In what country Mumbai located?', 'In what region is #1 located?', 'What is Solanum melongena referred to as in #2?', 'Is #3 the word ""eggplant""?']",2,573
2113,7460108c3996aca011d5,Does Home Depot sell item in late September zodiac sign symbol?,Yes,"['The zodiac sign for late September is Libra.', 'The Libra zodiac sign is represented by scales. ', 'Home Depot sells a number of scales including Pelouze and Ozeri brands.']","['What is the zodiac sign that represents late September?', 'What is symbol of #1?', 'What kinds of goods (and services) does The Home Depot deal in?', 'Is #2 likely to be included in #3?']",3,1644
1166,55a0154c4a5dd692c046,Was Mercedes-Benz associated with the Nazis?,Yes,"['During the 1930s, Mercedes-Benz produced the 770 model.', 'The 770 was popular with Nazis, and Adolf Hitler used them as his personal vehicle.']","['Which Mercedes-Benz model was made during the 1930s?', 'Was #1 popular among the Nazis?']",4,1747
1774,570dad603aee73b5c88e,"In Doctor Who, did the war doctor get more screen time than his successor?",No,"['The War Doctor was succeeded by the ""9th Doctor"". ', 'The War Doctor was featured in two episodes of Doctor Who.', 'The 9th Doctor was featured in 13 episodes of Doctor Who.']","['Who was the successor of the War Doctor?', 'How many episodes was #1 in?', 'How many episodes was the War Doctor in?', 'Is #3 greater than #2?']",0,740
1979,22f35192d8d58cfb6ba9,Could a fan of the Botany Swarm vote for John Key?,Yes,"['The Botany Swarm is a hockey team based in Auckland, New Zealand', 'John Key is the Prime Minister of New Zealand']","['What city is the Botany Swarm based in?', 'In what country is #1?', 'What country was John Key the Prime Minister of?', 'Is #2 the same as #3?']",1,1297
392,8b41a17e65ef7f6e22b5,"During the pandemic, is door to door advertising considered inconsiderate?",Yes,"['Door to door advertising involves someone going to several homes in a residential area to make sales and leave informational packets.', 'During the COVID-19 pandemic, the CDC recommends that people limit their travel to essential needs only.', 'During the COVID-19 pandemic, citizens are advised to stay home and to limit their interaction with others.', 'During the COVID-19 pandemic, people are encouraged to remain six feet away from each other at all times.', 'The more people that someone interacts with, the higher the likelihood of them becoming a vector for the COVID-19 virus.']","['What does door to door advertising involve a person to do?', 'During the COVID-19 pandemic, what does the CDC advise people to do in terms of traveling?', 'During the COVID-19 pandemic, what does the CDC advise people to do in terms of interaction with others?', 'Does doing #1 go against #2 and #3?']",2,231
