,Unnamed: 0,question,answer,cluster,index
5623,5623,"In a class of 30 students, the teacher polls the students on their favorite subject. 1/5 of the students like Math, and 1/3 like English. 1/7 of the remaining students like Science. The rest don’t have a favorite subject. How many students don’t have a favorite subject?","30 x 1/5 = <<30*1/5=6>>6 students like Math.
30 x 1/3 = <<30*1/3=10>>10 students like English.
So, 6 + 10 = <<6+10=16>>16 students like either Math or English.
Thus, 30 - 16 = <<30-16=14>>14 students neither like Math nor English.
Since 1/7 of the remaining like Science, therefore 14 x 1/7 = <<14*1/7=2>>2 students like Science.
Hence, 14 - 2 = <<14-2=12>>12 students neither likes the 3 subjects.
#### 12",0,1786
5126,5126,Micheal decided to take some piano lessons. One lesson costs $30 and lasts for 1.5 hours. How much will Micheal need to pay for 18 hours of lessons?,"One lesson lasts 1.5 hours, so 18 hours of them is 18 / 1.5 = <<18/1.5=12>>12 lessons.
If one lesson costs $30, then 12 lessons cost 12 * 30 = $<<12*30=360>>360.
#### 360",1,4177
1766,1766,Ephraim has two machines that make necklaces for his store. On Sunday the first machine made 45 necklaces. The second machine made 2.4 times as many necklaces as the first machine. How many necklaces were made in total on Sunday?,"The second machine made 2.4 times as many necklaces as the first machine, so the second machine made 2.4 * 45 = <<2.4*45=108>>108 necklaces on Sunday.
In total, 45 + 108 = <<45+108=153>>153 necklaces were made on Sunday.
#### 153",2,2735
2314,2314,"Tyler weighs 25 pounds more than Sam. Peter weighs half as much as Tyler. If Peter weighs 65 pounds, how much does Sam weigh, in pounds?","Tyler weighs 65*2=<<65*2=130>>130 pounds.
Sam weighs 130-25=<<130-25=105>>105 pounds.
#### 105",3,1326
3915,3915,"Jordan is a hockey goalie. In the first period of a game, he blocked four shots. In the second period, he blocked twice as many shots. In the third period, he blocked three fewer than in the second period. When the game ended after the fourth period, he had blocked 21 shots in all. How many did Jordan block in the fourth period?","Let F be the number of shots Jordan blocked in the fourth period.
In the second period, he blocked 2 * 4 = <<2*4=8>>8 shots.
In the third period, he blocked 8 - 3 = <<8-3=5>>5 shots.
In the whole game, he blocked 4 + 8 + 5 + F = 17 + F = 21 shots.
Thus, Jordan blocked F = 21 - 17 = <<21-17=4>>4 shots in the fourth period.
#### 4",4,405
1035,1035,"The difference between the number of boys and girls in a tree planting event is 400. If there are 600 boys at the event, and the number of girls is more than the number of boys, what's 60% of the total number of boys and girls at the event?","If there are 600 boys at the event, and the difference between boys and girls is 400, there are 600+400=<<600+400=1000>>1000 girls.
The total number of boys and girls at the event is 1000+600=<<1000+600=1600>>1600
60% of the total number of boys and girls at the event is 60/100*1600=<<60/100*1600=960>>960
#### 960",0,3007
6397,6397,"Casey is trying to decide which employee she wants to hire. One employee works for $20 an hour. The other employee works for $22 an hour, but Casey would also get a $6/hour subsidy from the government for hiring a disabled worker. How much money per week would Casey save by hiring the cheaper employee, if they both work 40 hours per week?","First find the weekly cost of the first employee: $20/hour * 40 hours/week = $<<20*40=800>>800/week
Then find the hourly cost of the second employee after the government subsidy: $22/hour - $6/hour = $<<22-6=16>>16/hour
Then find the weekly cost of the second employee: $16/hour * 40 hours/week = $<<16*40=640>>640/week
Then subtract the smaller weekly cost from the bigger weekly cost to find the difference: $800/week - $640/week = $<<800-640=160>>160/week
#### 160",1,4897
4720,4720,"Cara has 60 marbles in a bag. 20 of them are yellow, half as many are green, and the remaining marbles are equally divided between red and blue. If Cara picks a marble at random, what are the odds it's blue (expressed as a percentage)?","First find the number of green marbles: 20 yellow marbles / 2 = <<20/2=10>>10 green marbles
Then find how many marbles are either red or blue: 60 marbles - 20 yellow marbles - 10 green marbles = <<60-20-10=30>>30 marbles
Divide this number in half to find how many marbles are blue: 30 marbles / 2 = <<30/2=15>>15 blue marbles
Finally, divide the number of blue marbles by the total number of marbles and multiply by 100 to find the percentage chance of getting a blue marble: 15 marbles / 60 marbles * 100 = <<15/60*100=25>>25%
#### 25",2,4195
2315,2315,"Samir just turned half the age Hania was 10 years ago. If in five years Hania will be 45 years old, what will Samir's age be five years from now?","If in five years, Hania will be 45 years old, currently she is 45-5 = <<45-5=40>>40 years old.
Ten years ago, Hania was 40-10 = <<40-10=30>>30 years old.
Samir just turned half the age Hania was 10 years ago, which means she is 30/2 = <<30/2=15>>15 years old.
In five years, Samir will be 15+5 = <<15+5=20>>20 years old
#### 20",3,2084
4458,4458,"If the normal hours of operation of Jean's business are 4 pm to 10p every day Monday through Friday, and from 6 pm to 10 pm on weekends, how many hours is the business open in a week?","First, we find the number of hours per weekday by subtracting the smaller number time from the larger one, finding 10-4= <<10-4=6>>6 hours per weekday.
As there are 5 weekdays, this means the business is open 6*5=30 hours a week on the weekdays.
Then we find out the amount of time the business is open on a weekend day, using the same process as we did with the weekdays, finding Jean's business is open 10-6= <<10-6=4>>4 hours each weekend day.
Since there are two weekend days, this means they are open 4*2=<<4*2=8>>8 hours on the weekends.
We add these two totals together to find that 30+8= <<30+8=38>>38 hours per week.
#### 38",4,1597
