question	answers
Three birds are flying at a fast rate of 900 kilometers per hour. What is their speed in miles per minute? [1km = 0.6 miles]	 E
A ship is leaving a port. It takes 240 seconds to passes through a 750m channel to get to the port gates, and takes 60 seconds to pass through the gates of the port. What is its length?	 D)250 m
A rectangular piece of cloth 2 feet wide was cut lengthwise into two smaller rectangular pieces. The shorter piece was one-third of the length of the longer of the 2 new pieces and had an area of 12 square feet. What was the length Q in feet of the original piece of cloth before cutting?	 B
In the xy-coordinate plane, which of the following points must lie on the line kx + 2y = 6 for every possible value of k?	"Rationale: To find the points that must lie on the line \(kx + 2y = 6\) for every possible value of \(k\), we need to check which points satisfy this equation regardless of the value of \(k\).

Let's substitute each point into the equation and see if it holds true:

1. For point (1,1):
   \(k(1) + 2(1) = 6\)  
   \(k + 2 = 6\)  
   \(k = 4\)

2. For point (0,3):
   \(k(0) + 2(3) = 6\)  
   \(0 + 6 = 6\)  

3. For point (2,0):
   \(k(2) + 2(0) = 6\)  
   \(2k = 6\)  
   \(k = \frac{6}{2} =3\)

4. For point (3,6):
    k*3+12=9
    k= -3

5. For point (5,-7)
    k*5-14=9
    k=23/5

From our calculations:
- Points (1,"
A travel company wants to charter a plane to the Bahamas. Chartering the plane costs $5,000. So far, 12 people have signed up for the trip. If the company charges $200 per ticket, how many more passengers must sign up for the trip before the company can make any profit on the charter?	 C
Kirk sells cars. On two sales, Kirk has received commissions of $850, and $705, and he has one additional sale pending. If Kirk is to receive an average (arithmetic mean) commission of exactly $820 on the three sales, then the third commission must be:	 B) $905
A group of 5 friends were to contribute equally to purchase items from a store. If store offered them a promotional discount of 15%, how much did each friend pay, given a total bill of $ 1200?	 E
"Let A, B and C denote the vertices of a triangle with area 10. Let point D be on side AB,
point E be on side BC and point F be on side CA with AD = 2 and DB = 3. The area of
△ABE and the area of quadrilateral DBEF are the same. What is the value of this area?"	 C
ABC company pays an average of $120 per vehicle each month in outdoor parking fees for three of its eight vehicles. The company pays garage parking fees for the remaining five vehicles. If ABC pays an average of $240 per vehicle overall each month for parking, how much does ABC pay per month in garage parking fees for its vehicles?	 A)300
Solution A has 5% salt concentration and remaining water. After heating 50 litres of Solution A at a certain temperature, due to evaporation, the salt concentration increases to 10%. The amount of water remaining in the solution would be	 C)25 litres
If a number of apples, say x, is divisible by 3 and 9, x is a multiple of which of the following values?	 B)27
In how many arrangements can you arrange 3 green cones and 3 blue cones in a line along the boundary of football ground if no two cones of the same color are to be adjacent?	 B
In a mixture, the ratio of spirit and water is 3:2. If the amount of spirit is 3 litre more than amount of water, calculate the amount of spirit in mixture?	 B
A car traveled 40 mph from Belnap to Lincoln and 50 mph from Lincoln to Belnap. If the whole trip was 660 miles, how long did the round trip take?	 A)6 hours
In a certain conservative mutual fund, 60 percent of the money is invested in bonds, and of that portion, 40 percent is invested in highly rated corporate bonds. If at least $2.4 million in this fund is invested in highly rated corporate bonds, what is the smallest possible total value for the mutual fund?	 B
A certain state imposes a 4% tax on the nightly rates of hotel room. A certain hotel in this state also charges a $2.00 nightly fee per room, which is not subject to tax. If the total charge for a room for one night was $72.72 , what was the nightly rate of the room?	 A
Alex has enough money to buy 30 bricks. If the bricks each cost 20 cents less, Grace could buy 10 more bricks. How much money does Grace have to spend on bricks?	 [INS]
In a poll of 45,000 dentists, only 30 percent responded; of these, 20 percent claimed to prefer Toothpaste A. How many of the dentists who responded did not claim a preference for Toothpaste A?	 E
"In recent Malta elections, in a particular constituency, 100,000 votes were cast and each vote was cast for
either Candidate A or Candidate B. If candidate A has won by 500 votes, what percent of the 100,000 votes
were cast for Candidate A?"	 B
Glenn gains 10% from selling her scarf at $44. Her mom tells her she'll buy it from her but only after a family discount of 5%. What is Glenn's gain percent if she sells the scarf to her mom?	 A)5%
A trader bought some books for Rs 8 each. The wholesaler gave 15% discount on each of the books. If the discount amount deducted on the bill was Rs 216, how many books did he buy?	 A
"Elliot has $1500 to buy a new laptop. His father gave him another $600 for a better model. Elliot saw a new mobile and he decided to by it for 400$. Also, he bought a laptop for $1300
How much money had Elliot left with?"	 B) \$400
Bill's shop sells candy bars by the full case. 80% of a full case is added to 96 candy bars already in the case to fill it. How many candy bars are in a full case?	 E
Lucy has enough money to go to Canada every 6 years, while Luke has enough to go every 9 years. If they pool their money, how often can they go?	 C)5 times every 18 years
A group of stock analysts had a contest. Each analyst picked 5 stocks out of a list of 30 stocks to purchase. If each of the stocks was picked exactly 6 times, how many analysts were in the contest?	 C
Which is a longer period of time: 3 hours or 175 minutes?	 A)1hours
The root(s) of 15/(x2 - 4) – 2/(x - 2) = 1 is (are):	 [INS]
A farming field can be ploughed by 6 tractors in 4 days. When 6 tractors work together, each of them ploughs 120 hectares a day. If two of the tractors were moved to another field, then the remaining 4 tractors could plough the same field in 5 days. How many hectares a day would one tractor plough then?	 D
On sports day, if 24 children were made to stand in a column, then 10 columns could be formed. If 240 children were made to stand in a column, then how many columns could be formed?	 E
The salaries of Kiran, Prakash and Sanjay are in the ratio of 2 : 3 : 4. The salary of Prakash and Sanjay together is Rs. 56000. The manager plans to increment the salary of Prakash from his current package and does so by increasing his salary so that it is 1 rupee more than that of Sanjay. Now, if Kiran wishes to demand a salary that will surpass Prakash's by 1 Rupee, how much he should demand ?	 A)Rs.16002
A wholesaler allows a discount of 20 % on the list price to the retailer. The retailer sells at 5% below the list price. If the customer pays Rs.19 for an article what profit is made by the retailer on it?	 [INS]
"A cube shaped pool is half full of water. If the water is 36 inches deep, how much would the
water in the pool weigh if the pool were filled to the brim? (1 cubic foot weighs 56 pounds)"	 A)22,096 pounds of water
A car after covering 1/2 of a journey of 100 km develops engine trouble and later travels at 1/2 of its original speed. As a result, it arrives 2 hours late than its normal time. What is the normal speed of the car is?	 [INS]
"A sphere is surrounded by the smallest cylinder that will just contain it. Which of following is a complete set of the points where the cylinder touches the sphere?
I. One point,
II. Two points,
III. A Circle"	 A
At an elite baseball camp, 60% of players can bat both right-handed and left-handed. If 1/3 of the players who bat left-handed do not bat right-handed, what is the probability that a player selected at random does not bat left-handed?	 A)10%
One person has 2 children. At least one of them was a girl. Then the probability that 2 of the are girl is_____	 B)1/3
During a particular year in city X, there were an average (arithmetic mean) of 16,000 car accidents per day on weekends and an average of 40,000 per day on each of the other days of the week. Which of the following is nearest to the total number of accidents last year?	 A)0.12 million
A man earns RS. 20 on the first day and spends Rs. 15 on the next day. He again earns Rs. 20 on the third day and spends Rs. 15 on the fourth day. If he continues to save like this, how soon will he have Rs. 60 in hand?	 A) on the **17th day**
Money is paid into an account in portions of $500 and paid out in portions of $300. If after a month the account grew by $1,200, what is the least possible number of transactions that could have been made?	"Rationale: Let's denote the number of $500 portions paid into the account as \(x\) and the number of $300 portions paid out as \(y\). 

Each $500 portion added to the account increases it by $500, and each $300 portion taken out decreases it by $300. 

Given that after a month the account grew by $1,200, we can set up an equation: 
$500x - $300y = $1,200

To find the least possible number of transactions made, we need to minimize both x and y. Since we want to minimize the number of transactions, let's start with smaller values for x and y.

Let's try x = 3 (minimum value) and y = 0:
$500 * 3 - $300 * 0 = $1,500 - 0 =/= $1,200

Next, let's try x = 4 and y = 2:
$500 * 4 - $300 * 2 = $2,000 - $600 =$1,400 /=/ \$1,200

Trying x=5,y=4
$500*5-$300*4=$2500-$1200=$1300 which is not equal to"
If (x # y) represents the remainder that results when the positive integer x is divided by the positive integer y, what is the sum of all the possible values of y such that (16 # y) = 3?	 A)14
An investor purchased shares of stock at a certain price. If the stock increased in price Rs 0.25 per share and the total increase for the x shares was Rs 12.50, how many shares of stock had been purchased?	 B
In how many ways can 5 different candies be distributed among 4 children? (Children could get 0 candies or more than one candy)	 [INS]
A is 30% more efficient than B. How much time will they, working together, take to complete a job which A along could have done in 23 days?	 E) None of these
The marked price of a clock is Rs.6400. It is to be sold at Rs.4896 at two successive discounts. If the first discount is 10%, the second discount is	 C
A dog takes 4 leaps for every 5 leaps of a hare but 3 leaps of a dog are equal to 4 leaps of the hare. Compare their speeds.	 [INS]
A shrewd opportunist bought 50 equally priced Kale Kids in November for t dollars total. In December, he sold each Kale Kid for a profit of 100 percent. In terms of t, how much was each Kale Kid sold for?	 A) t/100
If a cellphone is purchased for Rs.490 and sold for Rs.465.50 find the loss percentage?	 A
An agent gets a 5% commission on sales of cloths. In a certain day he got $500 as commission. The cloths sold through him on that day is worth?	 C
If the ratio of the ages of Maya and Chhaya is 6:5 at present, and fifteen years from now, the ratio will get changed to 9:8, then find Maya's present age.	 B
Scott bought three bags of candy with 75 pieces in each one. He plans to divide all the candy evenly among seven friends. How many pieces of candy will Scott have left for himself?	 E
"Two trains under a controlled experiment begin at a speed of 100 mph in the opposite direction in a tunnel. A supersonic bee is left in the tunnel which can fly at a speed of 1000 mph. The tunnel is 200 miles long. When the trains start running on a constant speed of 100 mph, the supersonic bee starts flying from one train towards the other. As soon as the bee reaches the second train, it starts flying back towards the first train.
If the bee keeps flying to and fro in the tunnel till the trains collide, how much distance will it have covered in total?"	 A)1000 miles.
6 pigs cost the same as 9 sheep. 27 sheep cost the same as 30 goats. 50 goats cost the same as 3 elephants. If two elephants cost $4800, then the cost of one pig in dollar is	 [INS]
A certain prosthodontist specializes in implanting gold and silver teeth in his patients’ mouths. He charges $650 for a gold tooth and $325 for a silver tooth. If his total fees for implanting gold and silver teeth last week were $15,925 in total, and he implanted five more gold teeth than silver teeth, how many teeth in total did he implant over the week?	 E
David bought 13 BMW cars for a total price of 1,105,000 dollars. If he wants to make a profit of 39,000 dollars in the deal, at what price should he sell one car?	 B
30% of all Huhulians own at least one TV. 24% of Huhulians who own at least one TV own at least four TV's. What percent of Huhulians own at least four TV's?	 C)7.2%
If a man reduces the selling price of a fan from Rs.400 to Rs.380, his loss increases by 2%. The cost price of the fan is	 D
A small business invests $9,800 in equipment to produce a product. Each unit of the product costs $0.65 to produce and is sold for $1.20. How many units of the product must be sold before the revenue received equals the total expense of production, including the initial investment in equipment?	 D
The function P~ can be expressed as 2-P for all values of P. What is the value of (7~)~?	 A) 7
A tailor had a number of shirt pieces to cut from a roll of fabric. He cut each roll of equal length into 12 pieces. He cut at the rate of 40 cuts a minute. How many rolls would be cut in 30 minutes ?	 D)109
3 men and 3 women need to be seated in 2 rows with 3 chairs in each row. All men have to be seated in the back row. How many ways can this be done?	 D
If a number is chosen at random from the set {1, 2, 3, ...., 100}, then the probability that the chosen number is a perfect cube is?	 A
A train running between two stations A and B arrives at its destination 10 minutes late when its speed is 50 km/h and 50 minutes late when its speed is 30 km/h. What is the distance between the stations A and B ?	 C)60 km
The H.C.F and L.C.M. of two numbers are 50 and 100 respectively. If the first number is divided by 2, the quotient is 50, the second number is:	 A
Bert and Ernie are among 12 tenants on Sesame Street, from which 9 tenants are to be selected for the neighborhood watch. Of the different possible selections, how many contain neither Bert nor Ernie?	 A
There are N numbers of gold biscuits in the house, in which four people are lived. If the first men woke up and divided the biscuits into 5 equal piles and found one extra biscuit. He took one of those piles along with the extra biscuit and hid them. He then gathered the 4 remaining piles into a big pile, woke up the second person and went to sleep. Each of the other 3 persons did the same one by one i.e. divided the big pile into 5 equal piles and found one extra biscuit. Each hid one of the piles along with the extra biscuit and gathered the remaining 4 piles into a big pile. If N>1000, what could be the least value of N?	"Rationale: Let's solve the problem step by step:

1. After the first person divides the biscuits into 5 equal piles, there is one extra biscuit. So, each pile has (N/5) + 1 biscuits.
2. The first person takes one of those piles along with the extra biscuit and hides them. This leaves behind 4 piles with a total of 4 * ((N/5) + 1) = 4N/5 + 4 biscuits.
3. The second person then divides this big pile into 5 equal piles and finds one extra biscuit. Each new pile will have ((4N/5 + 4)/5) + 1 = (4N/25) + (24/5) biscuits.
4. The second person takes one of these new piles along with the extra biscuit and hides them, leaving behind a big pile of size (4N - N)/25 = (3N/25).
5. This process continues for all four people living in the house.

Now, we need to find out what could be the least value of N greater than 1000 that satisfies this scenario.

Let's start by trying some values:
- For N=1000: After all"
The average age of the first seven people to arrive at Nikhil’s birthday is 21. When Vijay (29) arrived, the mean age is increased to 22. Marry (also 29) arrived next. The tenth and last person to arrive at Nikhil's party is Nikhil himself, and the mean age increased to 30 years. How old is Nikhil on his birthday?	 A)94
Marla starts running around a circular track at the same time Nick starts walking around the same circular track. Marla completes 32 laps around the track per hour and Nick completes 12 laps around the track per hour. How many minutes after Marla and Nick begin moving will Marla have completed 5 more laps around the track than Nick?	 D)15
Proportion of Yuvaraj’s age to Ganguly’s age is 4:3. Yuvaraj will be 26 years old after 6 years. What is the age of Ganguly now?	 A)15 years
A man says that he gained 10 percent as profit in selling a suitable cloth material. He says if he had purchased the same one 10 percent cheaper than it was actual and if he had sold it for 20% profit he gets 25paise less. find at what price he sold the suit?	 D)13
Tanya's grandfather was 8 times older to her 16 years ago. He would be 3 times of her age 8 years from now. What was ratio of ages of Tanya and her grandfather 8 years ago.	 E
The least possible value of |89 - 9a|, where a is an integer, is	"Rationale: To find the least possible value of |89 - 9a|, we need to consider two cases:
1. When 89 - 9a is positive, then |89 - 9a| = 89 - 9a
2. When 89 - 9a is negative, then |89 - 9a| = -(89 - 9a) = 9a - 89

For the first case:
Let's assume that a is such that (89-9a) is positive.
To minimize |89-9a|, we need to maximize the value of a.
The maximum integer value of a can be when a equals the integer part of (89/9), which is equal to approximately 10.

Substitute a =10 into |89-9a| gives us:
|89-90|= |-1|=1

For the second case:
Let's assume that a is such that (89-9a) is negative.
To minimize |(8-a)|, we need to minimize the value of a.
The minimum integer value of a can be when it equals the next lowest integer from (88/(-9)), which is approximately equal to -10.

Substitute a=-10"
In tennis, service alternates for each game between the two players and the first player to win 6 games wins. A player winning 6-2 indicates that 8 games were played, of which the winning player won 6 and the losing player won 2.Rafa beat Roger in a set of tennis, winning six games to Roger’s three. Five games were won by the playerwho did not serve. Who served first?	 A) Rafa
Ashish is given Rs. 158 in one-rupee denominations. He has been asked to allocate them into a number of bags such that any amount required between Re 1 and Rs. 158 can be given by handing out a certain number of bags without opening them. What is the minimum number of bags required?	 E) None of these
Last year Sahara, Tata, Singhania and Birla each has 250 industries. This year everyone has sold out 10 factories due to the recession of the economy and poor turnout. The average number of industries which of them now has	 A
Which of the following is the equation of a line that goes through the point (10,5) and has an x-intercept of 5.	 B
In a mixture of milk and water, there is only 26% water. After replacing the mixture with 7 liters of pure milk, the percentage of milk in the mixture become 76%. The quantity of the mixture is:	 E) None of the above
The least perfect square number, exactly divisible by 21, 36 and 56 is?	 A
Mr. X died when his age was 1/59th of year of birth. What was his date of birth?	 A
Santa distributes 2 gifts to every child in the street at the Christmas evening. He mistakenly gives 4 gifts to some children. If he distributed 50 gifts to 21 children. How many children got 4 gifts?	 D
The ratio of A’s and B’s salary is 9 : 4. If A’s salary is increased by 15%, then his total salary becomes 5175. What is the salary of B?	 A
Of two numbers, 4 times the smaller one is less then 3 times the larger one by 5. If the sum of the numbers is larger than 6 times their difference by 6, find the two numbers.	 [INS]
Cost of 3 cricket balls = cost of 2 pairs of leg pads. Cost of 3 pairs of leg pads = cost of 2 pairs of gloves. Cost of 3 pairs of gloves = cost of 2 cricket bats. If a cricket bat costs Rs 54, what is the cost of a cricket ball?	 D
Peter piper picked a pack of pickled peppers according to the function Y=(1/X)*X^3-7. If X=3 how many pickled peppers did he pick?	 D
John invested $100 in each of the funds A and B. After one year, the value of the money in fund A was $10 higher than the value of the money in fund B. After another year, the value of the money in fund A was $25 higher than the value of the money in fund B. If the value of the money in each fund increased by a fixed interest compounded annually, what was the annual interest of fund A?	 A
If P represents a single digit in the four digit number x=18P6, how many different values of P are there such that x is divisible by 8?	 B
Vegetables contains 68% water and green vegetables contains 20% water. How much green vegetables can be obtained from 100 kg of Vegetables ?	 C)25
M is a set of even numbers from 1 to 23 and odd numbers from 24 to 100. Find no. of zeroes in the sum of all values in the set.	"Rationale: 
To find the sum of all values in the set M, we need to calculate the sum of even numbers from 1 to 23 and odd numbers from 24 to 100 separately.

For even numbers from 1 to 23:
The sum of an arithmetic series can be calculated using the formula: Sum = n/2 * (first term + last term), where n is the number of terms.
In this case, there are \( \frac{23}{2} = 11.5 \) terms (since it's an odd number).
The first term is 2 and the last term is 22.
Sum of even numbers from 1 to 23 = \( \frac{11.5}{2} * (2 + 22) = \frac{11.5}{2} *24 =138\).

For odd numbers from 24 to 100:
Similarly, we calculate the sum using the same formula.
There are \( \frac{77}{2} =38.5\) terms between these two ranges.
The first term is 25 and the last term is also an odd number which is less than or equal to but closest to a multiple of four greater than or equal to one hundred i.e.,99"
