,question,choices,answer,unit,table_title,table,table_for_pd,row_num,column_num,solution,ques_type,ans_type,grade,split,cluster,index
6660,Each laundry basket has 5 pairs of pants. How many pairs of pants are in 6 laundry baskets?,,30,pairs of pants,,"Number of laundry baskets | Number of pairs of pants
1 | 5
2 | 10
3 | 15
4 | 20
5 | 25
6 | ?","{'Number of laundry baskets': ['1', '2', '3', '4', '5', '6'], 'Number of pairs of pants': ['5', '10', '15', '20', '25', '?']}",7,2,Count by fives. Use the chart: there are 30 pairs of pants in 6 laundry baskets.,free_text,integer_number,1,train,0,11741
10855,"Mariana keeps all her spare keys in a box under her bed. Recently, Mariana decided the box was becoming unmanageable, as none of the keys were labeled. She set about labeling them with colored stickers that indicated what each key opened. What is the probability that a randomly selected key is labeled with a blue sticker and opens the back door of the house? Simplify any fractions.",,3/20,,," | Front door of the house | Back door of the house
Blue sticker | 5 | 3
Green sticker | 7 | 5","{'': ['Blue sticker', 'Green sticker'], 'Front door of the house': ['5', '7'], 'Back door of the house': ['3', '5']}",3,3,"Let A be the event ""the key is labeled with a blue sticker"" and B be the event ""the key opens the back door of the house"".
To find the probability that a key is labeled with a blue sticker and opens the back door of the house, first identify the sample space and the event.
The outcomes in the sample space are the different keys. Each key is equally likely to be selected, so this is a uniform probability model.
The event is A and B, ""the key is labeled with a blue sticker and opens the back door of the house"".
Since this is a uniform probability model, count the number of outcomes in the event A and B and count the total number of outcomes. Then, divide them to compute the probability.

Find the number of outcomes in the event A and B.
A and B is the event ""the key is labeled with a blue sticker and opens the back door of the house"", so look at the table to see how many keys are labeled with a blue sticker and open the back door of the house.
The number of keys that are labeled with a blue sticker and open the back door of the house is 3.

Find the total number of outcomes.
Add all the numbers in the table to find the total number of keys.
5 + 7 + 3 + 5 = 20

Find P(A and B).
Since all outcomes are equally likely, the probability of event A and B is the number of outcomes in event A and B divided by the total number of outcomes.
P(A and B) = \frac{# of outcomes in A and B}{total # of outcomes}
 = \frac{3}{20}
The probability that a key is labeled with a blue sticker and opens the back door of the house is \frac{3}{20}.",free_text,decimal_number,8,train,1,6836
33003,How much money does Pamela need to buy 9 Hawaiian vacation packages?,,"6,390",$,,"Jamaican vacation package | $615
Hawaiian vacation package | $710
Australian vacation package | $884
Caribbean vacation package | $826","{'Column 1': ['Jamaican vacation package', 'Hawaiian vacation package', 'Australian vacation package', 'Caribbean vacation package'], 'Column 2': ['$615', '$710', '$884', '$826']}",4,2,"Find the total cost of 9 Hawaiian vacation packages by multiplying 9 times the price of a Hawaiian vacation package.

$710 × 9 = $6,390

Pamela needs $6,390.",free_text,integer_number,7,train,2,6977
38150,The table shows a function. Is the function linear or nonlinear?,"['linear', 'nonlinear']",linear,,,"x | y
16 | 1
17 | 7
18 | 13","{'x': ['16', '17', '18'], 'y': ['1', '7', '13']}",4,2,"To determine whether the function is linear or nonlinear, see whether it has a constant rate of change.
Pick the points in any two rows of the table and calculate the rate of change between them. The first two rows are a good place to start.
Call the values in the first row x1 and y1. Call the values in the second row x2 and y2.
Rate of change = \frac{y2 - y1}{x2 - x1}
 = \frac{7 - 1}{17 - 16}
 = \frac{6}{1}
 = 6
Now pick any other two rows and calculate the rate of change between them.
Call the values in the second row x1 and y1. Call the values in the third row x2 and y2.
Rate of change = \frac{y2 - y1}{x2 - x1}
 = \frac{13 - 7}{18 - 17}
 = \frac{6}{1}
 = 6
The two rates of change are the same.
If you checked the rate of change between rows 1 and 3, you would find that it is also 6.
This means the rate of change is the same for each pair of points. So, the function has a constant rate of change.
The function is linear.",multi_choice,boolean_text,8,train,3,10699
20782,Look at the following schedule. Which movie ends at 12.05 P.M.?,"['Cartoon Penguin Adventure', 'Aliens from Outer Space', 'Car Chases and Motorcycle Races', 'The Crystal Ball of Fortune']",Cartoon Penguin Adventure,,Movie schedule,"Movie | Begin | End
Aliens from Outer Space | 8:05 A.M. | 10:40 A.M.
Cartoon Penguin Adventure | 10:00 A.M. | 12:05 P.M.
The True Story of a Championship Team | 11:30 A.M. | 2:00 P.M.
The Fairy Tale Princess | 1:15 P.M. | 2:35 P.M.
Spaceships and Rockets | 2:05 P.M. | 3:55 P.M.
The Crystal Ball of Fortune | 3:15 P.M. | 6:10 P.M.
The Elephant and the Ostrich | 5:30 P.M. | 7:50 P.M.
A Mysterious Mystery | 7:20 P.M. | 8:40 P.M.
Car Chases and Motorcycle Races | 7:45 P.M. | 8:55 P.M.","{'Movie': ['Aliens from Outer Space', 'Cartoon Penguin Adventure', 'The True Story of a Championship Team', 'The Fairy Tale Princess', 'Spaceships and Rockets', 'The Crystal Ball of Fortune', 'The Elephant and the Ostrich', 'A Mysterious Mystery', 'Car Chases and Motorcycle Races'], 'Begin': ['8:05 A.M.', '10:00 A.M.', '11:30 A.M.', '1:15 P.M.', '2:05 P.M.', '3:15 P.M.', '5:30 P.M.', '7:20 P.M.', '7:45 P.M.'], 'End': ['10:40 A.M.', '12:05 P.M.', '2:00 P.M.', '2:35 P.M.', '3:55 P.M.', '6:10 P.M.', '7:50 P.M.', '8:40 P.M.', '8:55 P.M.']}",10,3,Find 12:05 P. M. on the schedule. Cartoon Penguin Adventure ends at 12:05 P. M.,multi_choice,extractive_text,3,train,4,15798
25905,The teachers at a middle school counted how many computers they had in their classrooms. What is the range of the numbers?,,16,,Computers in classrooms,"Teacher | Number of computers
Mr. Morales | 11
Mr. Lim | 3
Mrs. Jansen | 8
Ms. Cohen | 3
Ms. Rojas | 1
Mr. Watson | 7
Miss Murphy | 17
Mrs. Rossi | 10","{'Teacher': ['Mr. Morales', 'Mr. Lim', 'Mrs. Jansen', 'Ms. Cohen', 'Ms. Rojas', 'Mr. Watson', 'Miss Murphy', 'Mrs. Rossi'], 'Number of computers': ['11', '3', '8', '3', '1', '7', '17', '10']}",9,2,"Read the numbers from the table.

11, 3, 8, 3, 1, 7, 17, 10

First, find the greatest number. The greatest number is 17.

Next, find the least number. The least number is 1.

Subtract the least number from the greatest number:

17 − 1 = 16

The range is 16.",free_text,integer_number,5,train,0,4051
24184,A pumpkin patch monitored the number of pumpkins sold each day. On which day did the pumpkin patch sell the most pumpkins?,"['Wednesday', 'Thursday', 'Friday', 'Saturday']",Saturday,,Pumpkins sold,"Day | Number of pumpkins
Wednesday | 41
Thursday | 46
Friday | 42
Saturday | 48","{'Day': ['Wednesday', 'Thursday', 'Friday', 'Saturday'], 'Number of pumpkins': ['41', '46', '42', '48']}",5,2,"Find the greatest number in the table. Remember to compare the numbers starting with the highest place value. The greatest number is 48.

Now find the corresponding day. Saturday corresponds to 48.",multi_choice,extractive_text,2,train,1,9535
20478,How much money does Aisha need to buy a shell necklace and a dolphin bookmark?,,1.01,$,,"shell necklace | $0.43
dolphin bookmark | $0.58
whale keychain | $0.98
picture of a shark | $0.30","{'Column 1': ['shell necklace', 'dolphin bookmark', 'whale keychain', 'picture of a shark'], 'Column 2': ['$0.43', '$0.58', '$0.98', '$0.30']}",4,2,"Add the price of a shell necklace and the price of a dolphin bookmark:

$0.43 + $0.58 = $1.01

Aisha needs $1.01.",free_text,decimal_number,8,train,2,12521
23143,"Look at the table. Then answer the question. At a price of $655, is there a shortage or a surplus?","['shortage', 'surplus']",surplus,,,"Price | Quantity demanded | Quantity supplied
$295 | 19,300 | 10,000
$475 | 14,800 | 11,100
$655 | 10,300 | 12,200
$835 | 5,800 | 13,300
$1,015 | 1,300 | 14,400","{'Price': ['$295', '$475', '$655', '$835', '$1,015'], 'Quantity demanded': ['19,300', '14,800', '10,300', '5,800', '1,300'], 'Quantity supplied': ['10,000', '11,100', '12,200', '13,300', '14,400']}",6,3,"At the price of $655, the quantity demanded is less than the quantity supplied. There is too much of the good or service for sale at that price. So, there is a surplus.
",multi_choice,boolean_text,5,train,3,676
36377,Look at the following schedule. When does the train depart from the university?,"['11:45 A.M.', '10:40 A.M.', '12:15 P.M.', '12:45 P.M.']",12:15 P.M.,,Light rail train schedule,"Location | Time
grocery store | 10:15 A.M.
downtown | 10:30 A.M.
basketball stadium | 10:40 A.M.
park | 11:00 A.M.
shopping mall | 11:30 A.M.
library | 11:45 A.M.
university | 12:15 P.M.
hospital | 12:45 P.M.
swimming pool | 1:05 P.M.
town square | 1:35 P.M.","{'Location': ['grocery store', 'downtown', 'basketball stadium', 'park', 'shopping mall', 'library', 'university', 'hospital', 'swimming pool', 'town square'], 'Time': ['10:15 A.M.', '10:30 A.M.', '10:40 A.M.', '11:00 A.M.', '11:30 A.M.', '11:45 A.M.', '12:15 P.M.', '12:45 P.M.', '1:05 P.M.', '1:35 P.M.']}",11,2,"Find the university on the schedule. Find the departure time for the university.

university: 12:15 P. M.",multi_choice,extractive_text,3,train,4,10437
