question	answers
Three birds are flying at a fast rate of 900 kilometers per hour. What is their speed in miles per minute? [1km = 0.6 miles]	"Rationale: 
1 kilometer = 0.6 miles
900 kilometers per hour = 900 * 0.6 = 540 miles per hour
To find the speed in miles per minute, we need to convert hours to minutes:
1 hour = 60 minutes
So, the speed of the birds in miles per minute is 540 / 60 = 9 miles per minute.

Answer: E)10"
A ship is leaving a port. It takes 240 seconds to passes through a 750m channel to get to the port gates, and takes 60 seconds to pass through the gates of the port. What is its length?	"Rationale: 
Let the length of the ship be x meters. 

When the ship is passing through the 750m channel, it covers a distance of 750m in 240 seconds. Therefore, its speed is given by speed = distance/time = 750/240 m/s.

When the ship is passing through the gates of the port, it covers a distance of x meters in 60 seconds. Therefore, its speed is given by speed = distance/time = x/60 m/s.

Since speed is constant for both cases, we can equate the two expressions for speed:

750/240 = x/60
x = (750 * 60) / 240
x = 187.5

Answer: 
The length of the ship is approximately 188 meters.
Therefore, among the given options, closest to this value would be:
D)250 m"
A rectangular piece of cloth 2 feet wide was cut lengthwise into two smaller rectangular pieces. The shorter piece was one-third of the length of the longer of the 2 new pieces and had an area of 12 square feet. What was the length Q in feet of the original piece of cloth before cutting?	"Rationale: Let the length of the shorter piece be x feet. Since it is one-third of the length of the longer piece, the length of the longer piece is 3x feet.

The area of a rectangle is given by length * width. Given that the shorter piece has an area of 12 square feet and a width of 2 feet, we can set up the equation:

x * 2 = 12
2x = 12
x = 6

Therefore, the length of the shorter piece (which is also half of one side of the original rectangle) is 6 feet. The longer piece has a length of 3x = 3(6) = 18 feet.

Answer: A)6"
In the xy-coordinate plane, which of the following points must lie on the line kx + 2y = 6 for every possible value of k?	"Rationale: To determine which point must lie on the line \(kx + 2y = 6\) for every possible value of \(k\), we can substitute each given point into the equation and see if it satisfies the equation for all values of \(k\).

Answer: A)(1,1) 

Let's substitute (1,1) into the equation:

\(k(1) + 2(1) = 6\)  
\(k + 2 = 6\)  
\(k = 4\)

Now, let's check if this holds true for all values of \(k\):

If we choose a different value of \(k\), say \(k = -3\):  
\(-3(1) + 2(1) = -3 + 2 \neq 6\)  

Therefore, option A)(1,1) is the only point that must lie on the line for every possible value of \(k\)."
A travel company wants to charter a plane to the Bahamas. Chartering the plane costs $5,000. So far, 12 people have signed up for the trip. If the company charges $200 per ticket, how many more passengers must sign up for the trip before the company can make any profit on the charter?	"Rationale: 
The total revenue generated from ticket sales can be calculated by multiplying the number of passengers by the ticket price. In this case, with 12 people signed up, the company has made $200 x 12 = $2400 in revenue.

To make a profit on the charter, the total revenue must exceed the cost of chartering the plane ($5000). Therefore, we need to find out how many more passengers are required to generate enough revenue to cover the cost.

Let x be the number of additional passengers needed.
Total Revenue = Total Cost
$200(x + 12) = $5000
$200x + $2400 = $5000
$200x = $2600
x = 13

Answer: C) 13"
Kirk sells cars. On two sales, Kirk has received commissions of $850, and $705, and he has one additional sale pending. If Kirk is to receive an average (arithmetic mean) commission of exactly $820 on the three sales, then the third commission must be:	"Rationale: To find the average commission of $820 on three sales, we can set up the equation (850 + 705 + x) / 3 = 820, where x represents the third commission amount.

Calculating this equation gives us:
(850 + 705 + x) / 3 = 820
(1555 + x) / 3 = 820
1555 + x = 2460
x = 2460 - 1555
x = $905

Answer: B) $905"
A group of 5 friends were to contribute equally to purchase items from a store. If store offered them a promotional discount of 15%, how much did each friend pay, given a total bill of $ 1200?	"Rationale: 
Total bill after a 15% discount = $1200 - ($1200 * 0.15) = $1200 - $180 = $1020
Each friend's share = Total bill / Number of friends = $1020 / 5 = $204

Answer: 
E) $204"
"Let A, B and C denote the vertices of a triangle with area 10. Let point D be on side AB,
point E be on side BC and point F be on side CA with AD = 2 and DB = 3. The area of
△ABE and the area of quadrilateral DBEF are the same. What is the value of this area?"	"Rationale: 
The area of a triangle can be calculated using the formula: Area = 1/2 * base * height. 
Let x be the length of AE. Since the area of triangle ABE is equal to the area of quadrilateral DBEF, we have:

1/2 * 5 * x = 3 * (x + 3)

Solving this equation gives us x = 6.

Now, we can calculate the area of triangle ABE using the formula:

Area = 1/2 * base * height
Area = 1/2 * 5 * 6
Area = 15

Answer: B)6"
ABC company pays an average of $120 per vehicle each month in outdoor parking fees for three of its eight vehicles. The company pays garage parking fees for the remaining five vehicles. If ABC pays an average of $240 per vehicle overall each month for parking, how much does ABC pay per month in garage parking fees for its vehicles?	"Rationale: 
Let the total amount paid for garage parking fees be x. 

The total amount paid for outdoor parking fees = $120 * 3 = $360
The total amount paid for garage parking fees = x

Total amount paid for all vehicles = $240 * 8 = $1920

Therefore, we can create an equation:
$360 + x = $1920
x = $1920 - $360
x = $1560

Answer: D) 1340"
Solution A has 5% salt concentration and remaining water. After heating 50 litres of Solution A at a certain temperature, due to evaporation, the salt concentration increases to 10%. The amount of water remaining in the solution would be	"Rationale: 
Initially, in Solution A, the salt concentration is 5% and the remaining 95% is water. After heating and evaporation, the total amount of solution remains constant at 50 litres.

Let x be the amount of water evaporated during this process.

In the initial solution:
- Amount of salt = 5% of 50 litres = 0.05 * 50 = 2.5 litres
- Amount of water = Total - Amount of salt = (100 - 5)% of 50 litres = (95/100) * 50 = 47.5 litres

After evaporation:
- Amount of salt remains constant at 2.5 litres
- Amount of water becomes (47.5 - x) litres

Given that after evaporation, the new concentration is now a total volume of solution which is still equal to original volume i.e.,(2.5 / (47.5 - x +2.5)) *100=10%

Solving for x:
(2.5 / (47.5 - x +2.5)) *100=10%
=> (2.5 / (50 - x)) *100=10%
=>25/(50-x)=10/1
"
If a number of apples, say x, is divisible by 3 and 9, x is a multiple of which of the following values?	"Rationale: If a number is divisible by both 3 and 9, it must be divisible by the least common multiple of 3 and 9, which is 9. Therefore, x is a multiple of 9.

Answer: B)27"
