question	answers
Three birds are flying at a fast rate of 900 kilometers per hour. What is their speed in miles per minute? [1km = 0.6 miles]	"To find the speed of the birds in miles per minute, we first need to convert their speed from kilometers per hour to miles per hour and then to miles per minute.

Given:
Speed of birds = 900 km/hr
Conversion factor: 1 km = 0.6 miles

Step 1: Convert speed from kilometers per hour to miles per hour
Speed in miles per hour = Speed in km/hr * Conversion factor
Speed in miles per hour = 900 km/hr * 0.6 miles/km
Speed in miles per hour = 540 miles/hr

Step 2: Convert speed from miles per hour to miles per minute
Since there are 60 minutes in an hour,
Speed in miles per minute = Speed in miles per hour / 60
Speed in miles per minute = 540 / 60
Speed in miles per minute = 9

Therefore, the speed of the birds is 9 miles per minute.

Answer: E)10"
A ship is leaving a port. It takes 240 seconds to passes through a 750m channel to get to the port gates, and takes 60 seconds to pass through the gates of the port. What is its length?	"Given:
Time taken to pass through the 750m channel = 240 seconds
Time taken to pass through the gates of the port = 60 seconds

Let's denote:
Length of the ship as L meters

To calculate the length of the ship, we can use the concept of speed = distance/time.

Speed in channel = Distance in channel / Time in channel
Speed at gates = Distance at gates / Time at gates

Since speed remains constant,
Speed in channel = Speed at gates

Distance in channel / Time in channel = Distance at gates / Time at gates

Using this information, we can set up two equations:

1. L / 240 = 750 / 240 (for passing through the channel)
2. L / 60 = x (for passing through the gates)

Solving these equations will give us the length of the ship.

Rationale: The time it takes for a ship to pass through a certain distance is inversely proportional to its length. So, by setting up and solving these two equations, we can find out how long the ship is.

Answer: D)250 m"
A rectangular piece of cloth 2 feet wide was cut lengthwise into two smaller rectangular pieces. The shorter piece was one-third of the length of the longer of the 2 new pieces and had an area of 12 square feet. What was the length Q in feet of the original piece of cloth before cutting?	"Given:
- Width of the original rectangular piece of cloth = 2 feet
- Area of the shorter piece after cutting = 12 square feet
- The shorter piece is one-third the length of the longer new piece

Let's denote:
- Length of the longer new piece as L
- Length of the shorter new piece as (1/3)L

The area formula for a rectangle is: Area = Length * Width

Since we have two pieces from cutting, their areas add up to give the area of the original piece:
(1/3)L * 2 + (2 - 1/3)L * 2 = L * 2

Now, we know that the area of the shorter piece is given as 12 square feet. So, we can write an equation based on this information:

(1/3)L * 2 = 12
(2/3)L = 12
L = (12*3)/2
L = 18 feet

Therefore, before cutting, the length Q in feet of the original piece was indeed **18**.

Answer: B)18"
In the xy-coordinate plane, which of the following points must lie on the line kx + 2y = 6 for every possible value of k?	"To find which points must lie on the line \(kx + 2y = 6\) for every possible value of \(k\), we can substitute each point into the equation and check if it satisfies the equation for any value of \(k\).

Let's start by checking each point:

A) (1,1):
Substitute x=1 and y=1 into the equation:
\(k(1) + 2(1) = 6\)
\(k + 2 = 6\)
\(k = 4\)

B) (0,3):
Substitute x=0 and y=3 into the equation:
\(k(0) + 2(3) = 6\)
\(0 + 6 = 6\)

C) (2,0):
Substitute x=2 and y=0 into the equation:
\(k(2) + 2(0) = 6\)
\(2k = 6\)
\(k =3 \)

D) (3,6):
Substitute x=3 and y=6 into the equation:
\( k(3)+12 \neq{ } to \neq{ } to \neq{ } to { }to"
A travel company wants to charter a plane to the Bahamas. Chartering the plane costs $5,000. So far, 12 people have signed up for the trip. If the company charges $200 per ticket, how many more passengers must sign up for the trip before the company can make any profit on the charter?	"To find out how many more passengers must sign up for the trip before the company can make any profit on the charter, we need to calculate the total revenue and compare it with the cost.

Given:
- Chartering the plane costs $5,000.
- 12 people have signed up for the trip.
- The company charges $200 per ticket.

Let's calculate:
Total cost = Chartering cost = $5,000
Total revenue from 12 people who have signed up = 12 * $200

Now let's check if there is any profit made:
Profit = Total revenue - Total cost

We need to find out when Profit becomes positive. Let x be the number of additional passengers needed to make a profit.

Total revenue from x additional passengers at $200 per ticket = x * $200

Therefore,
Profit equation: (12 + x) * $200 - $5,000 > 0
Solve for x:

(12 + x) * 200 - 5000 > 0
2400 + 200x - 5000 > 0
200x > 2600
x > 13

So, at least **14** more passengers must sign up for the trip before the company can make any profit on"
Kirk sells cars. On two sales, Kirk has received commissions of $850, and $705, and he has one additional sale pending. If Kirk is to receive an average (arithmetic mean) commission of exactly $820 on the three sales, then the third commission must be:	"Given that Kirk has received commissions of $850 and $705 on two sales, and he has one additional sale pending. 

Let the third commission be x.

To find the average commission of exactly $820 on the three sales, we can set up an equation:

(850 + 705 + x) / 3 = 820

Solving for x:
1555 + x = 2460
x = 2460 - 1555
x = 905

Therefore, the third commission must be $905.

Answer: B)$905"
A group of 5 friends were to contribute equally to purchase items from a store. If store offered them a promotional discount of 15%, how much did each friend pay, given a total bill of $ 1200?	"To find out how much each friend paid after the promotional discount, we first need to calculate the total amount after the discount and then divide it equally among the 5 friends.

Given:
Total bill before discount = $1200
Promotional discount = 15%

Step 1: Calculate the total amount after the 15% discount.
Discounted amount = Total bill - (15% of Total bill)
Discounted amount = $1200 - (0.15 * $1200)
Discounted amount = $1200 - $180
Discounted amount = $1020

Step 2: Divide the discounted amount equally among the 5 friends.
Amount each friend pays = Discounted amount / Number of friends
Amount each friend pays = $1020 / 5
Amount each friend pays = $204

Therefore, each friend paid $204.

Answer: E) $204"
"Let A, B and C denote the vertices of a triangle with area 10. Let point D be on side AB,
point E be on side BC and point F be on side CA with AD = 2 and DB = 3. The area of
△ABE and the area of quadrilateral DBEF are the same. What is the value of this area?"	"Given:
AD = 2
DB = 3
Area of triangle ABC = 10

Let x be the length of AE. Then BE will be equal to 5 - x.

The area of triangle ABE can be calculated using the formula for the area of a triangle given its base and height:
Area of triangle ABE = (1/2) * AE * BE

The area of quadrilateral DBEF can be found by subtracting the areas of triangles ABE and BDE from the total area of triangle ABC:
Area of quadrilateral DBEF = Area of triangle ABC - Area of triangle ABE - Area of triangle BDE

We know that the areas of triangles ABE and DBE are equal, so we can simplify this expression:
Area of quadrilateral DBEF = Area of triangle ABC - 2 * Area of triangle ABE

Now, let's substitute the given values into these formulas:

1. Calculate the area of triangle ABE:
AE = x
BE = 5 - x
Area_ABE = (1/2) * x * (5-x)

2. Calculate the area_of_quadrilateral DBEF using the above calculations:
Area_of_quadrilateral_DBEDF=10-2*[(1"
ABC company pays an average of $120 per vehicle each month in outdoor parking fees for three of its eight vehicles. The company pays garage parking fees for the remaining five vehicles. If ABC pays an average of $240 per vehicle overall each month for parking, how much does ABC pay per month in garage parking fees for its vehicles?	"Let's denote the total amount paid for garage parking fees for the five vehicles as x.

The total amount paid for outdoor parking fees for three vehicles is 3 * $120 = $360.

The total amount paid for garage parking fees for five vehicles is 5x.

The overall monthly parking cost is the sum of outdoor and garage parking fees, which is $240 per vehicle. So, we can set up an equation:

(360 + 5x) / 8 = $240

Now, let's solve for x:

360 + 5x = 8 * $240
360 + 5x = $1920
5x = $1920 - $360
5x = $1560
x = $1560 / 5
x = $312

Therefore, ABC pays $312 per month in garage parking fees for its vehicles.

Answer: A)300"
Solution A has 5% salt concentration and remaining water. After heating 50 litres of Solution A at a certain temperature, due to evaporation, the salt concentration increases to 10%. The amount of water remaining in the solution would be	"To solve this question, we need to understand that the amount of salt in the solution remains constant before and after heating. 

Let's denote the initial amount of salt in Solution A as S liters and the initial amount of water as W liters.

Initially, Solution A has a 5% salt concentration:
- Amount of salt = 0.05 * 50 = 2.5 liters
- Amount of water = 50 - 2.5 = 47.5 liters

After heating, the salt concentration becomes 10%:
- Total volume after heating = 50 liters
- Amount of salt remains at S liters
- Amount of water remaining = Total volume - Amount of salt = 50 - S

Since the total amount of salt remains constant:
- Initial amount of salt + Evaporated water (which is pure) should equal final amount of salt: 
2.5 + (47.5 - evaporated water) = S

Solving for S gives us:
S = evaporation_water + (47.5)

Given that after evaporation, the remaining solution has a total volume of 50 liters with a new concentration,
we can write it as:
S / (evaporation_water + (47.5))=10/"
If a number of apples, say x, is divisible by 3 and 9, x is a multiple of which of the following values?	"To find which values x is a multiple of, given that x is divisible by both 3 and 9, we need to find the common multiples of 3 and 9.

Common multiples of 3 and 9 are numbers that are divisible by both 3 and 9. The smallest common multiple of two numbers is their least common multiple (LCM).

The LCM of 3 and 9 is the smallest number that is divisible by both 3 and 9, which in this case is simply the larger number, which is 9.

Therefore, if a number x is divisible by both 3 and 9, it must be a multiple of:
- B)27

Answer: B)27"
In how many arrangements can you arrange 3 green cones and 3 blue cones in a line along the boundary of football ground if no two cones of the same color are to be adjacent?	"To solve this problem, we can consider the arrangement of the cones in two steps:

Step 1: Arrange the green cones
Since no two cones of the same color can be adjacent, we must alternate between green and blue cones. We have 3 green cones to arrange. The number of ways to arrange them is equivalent to arranging 3 objects (green cones) in 3 slots (positions between blue cones). This can be done in 3! = 6 ways.

Step 2: Arrange the blue cones
After placing the green cones, we are left with spaces for the blue cones. We have 3 blue cones to arrange. Similarly, this is equivalent to arranging 3 objects (blue cones) in 3 slots (positions between green cones). This can also be done in 3! = 6 ways.

Therefore, the total number of arrangements for both colors is obtained by multiplying the number of arrangements from Step 1 and Step 2:
Total arrangements = Number of arrangements for green * Number of arrangements for blue
Total arrangements = 6 * 6 = 36

Therefore, there are a total of **36** possible arrangements where no two cones of the same color are adjacent.

Answer: C)36"
In a mixture, the ratio of spirit and water is 3:2. If the amount of spirit is 3 litre more than amount of water, calculate the amount of spirit in mixture?	"Given that the ratio of spirit to water in the mixture is 3:2. Let's assume the amount of spirit in the mixture is \(3x\) liters and the amount of water is \(2x\) liters.

It is also given that the amount of spirit is 3 liters more than the amount of water:
\[3x = 2x + 3\]
\[x = 3\]

Now, we can find the amount of spirit in the mixture:
Amount of spirit = \(3 \times x = 3 \times 3 = 9\) liters

Therefore, Answer: B)9"
A car traveled 40 mph from Belnap to Lincoln and 50 mph from Lincoln to Belnap. If the whole trip was 660 miles, how long did the round trip take?	"Given:
- Speed from Belnap to Lincoln = 40 mph
- Speed from Lincoln to Belnap = 50 mph
- Total distance for the round trip = 660 miles

Let's denote the time taken to travel from Belnap to Lincoln as \( t_1 \) and the time taken to travel from Lincoln to Belnap as \( t_2 \).

We know that Distance = Speed * Time. So, we can write two equations based on the given information:
1. \( 40t_1 + 50t_2 = 660 \) (Total distance equation)
2. \( t_1 + t_2 = \text{Total time for round trip} \)

To find the total time for the round trip, we need to solve these two equations simultaneously.

From equation (2), we can express \( t_1 \) in terms of \( t_2 \):
\( t_1 = (\text{Total time}) - t_2 \)

Substitute this into equation (1):
\( 40((\text{Total time}) - t_2) + 50t_2 = 660 \)
\( 40(\text{Total time}) - 40t_2 + 50t"
In a certain conservative mutual fund, 60 percent of the money is invested in bonds, and of that portion, 40 percent is invested in highly rated corporate bonds. If at least $2.4 million in this fund is invested in highly rated corporate bonds, what is the smallest possible total value for the mutual fund?	"To find the smallest possible total value for the mutual fund, we need to consider the scenario where only the minimum required amount is invested in highly rated corporate bonds.

Let's assume the total value of the mutual fund is x million dollars. 
- 60% of x is invested in bonds.
- 40% of that portion (0.4 * 0.6x) is invested in highly rated corporate bonds.

Given that at least $2.4 million is invested in highly rated corporate bonds:
0.4 * 0.6x ≥ 2.4
0.24x ≥ 2.4
x ≥ 2.4 / 0.24
x ≥ 10

So, the smallest possible total value for the mutual fund is $10 million.

Therefore, Answer: B)10 million"
