,Unnamed: 0,question,answer,cluster,index
3888,3888,A store owner ordered 20 cases of bottles of soda in April and 30 cases in May. There are 20 bottles per case. How many bottles of soda did the store owner order in April and May?,"The store owner ordered a total of 20 + 30 = <<20+30=50>>50 cases.
This is equal to 50 x 20 = <<50*20=1000>>1000 bottles of soda.
#### 1000",0,3120
1977,1977,"Charles can earn $15 per hour when he housesits and $22 per hour when he walks a dog. If he housesits for 10 hours and walks 3 dogs, how many dollars will Charles earn?","Housesitting = 15 * 10 = <<15*10=150>>150
Dog walking = 22 * 3 = <<22*3=66>>66
Total earned is 150 + 66 = $<<150+66=216>>216
#### 216",1,3118
6165,6165,"Tamtam collected 65 shells in total. She got 13 purple shells, 8 pink shells, 18 yellow shells, and 12 blue shells. The remaining shells are color orange. How many orange shells are there?","Tamtam has a total of 13 + 8 + 18 + 12 = <<13+8+18+12=51>>51 shells that are not orange.
Therefore, Tamtam has a total of 65 – 51 = <<65-51=14>>14 orange shells.
#### 14",2,2802
232,232,"Jolene and Phil have four children, each with the same birthday.  They gave birth to their first child exactly 15 years ago.  They gave birth to their second child exactly one year after the birth of their first child.  They gave birth to their third child on the fourth birthday of their second child. Two years after the birth of their third child, they gave birth to their fourth child.  How old, in years, is their fourth child?","Their 1st child was born 15 years ago, and therefore is <<15=15>>15 years old.
Their 2nd child was born 1 year after their 15-year-old child, and therefore is 15-1=<<15-1=14>>14 years old.
Their 3rd child was born 4 years after their 14-year-old child, and therefore is 14-4=10 years old.
Their 4th child was born 2 years after their 10-year-old child, and therefore is 10-2=8 years old.
#### 8",3,4149
3521,3521,"Will's breakfast supplied him 900 calories of energy. Then he decided to jog for half an hour, which used up 10 calories of energy per minute. What is Will's net calorie intake after jogging?","Will jogged for 60/2 = <<60/2=30>>30 minutes.
He was able to use up 10 x 30 = <<10*30=300>>300 calories for jogging.
The net calorie intake of Will after jogging is 900 - 300 = <<900-300=600>>600.
#### 600",4,3543
3753,3753,"Out of 804 senior high school students, 75% passed their exams and so got their degree. The rest failed. How many didn't pass their exams?","Find the number of students who got their degree by multiplying: 804 students * 75% = <<804*75*.01=603>>603 students.
Then find the number of students who didn't pass their exams by subtracting this number from the total: 804 students - 603 students = <<804-603=201>>201 students.
#### 201",0,582
6639,6639,Maria has a pen and a pencil. She bought the pen for half the price of the pencil. The pencil cost her $8. How much did Maria pay for both the pen and the pencil?,"The pen is half the price of the pencil, so it's 8 * 0.5 = $<<8*0.5=4>>4.
So both the pen and the pencil cost Maria 8 + 4 = $<<8+4=12>>12.
#### 12",1,1532
3432,3432,"Milly and Floretta are having a water balloon fight in their garden. They use 3 packs of their own water balloons and also use 2 packs of a neighbor’s water balloons. Each pack of water balloons contains 6 balloons. Milly and Floretta fill all of the balloons then split them evenly, but Milly takes an extra 7 balloons when Floretta isn't looking. How many water balloons is Floretta left with?","Milly and Floretta have a total of 3 packs of their own water balloons + 2 packs of the neighbor’s water balloons = <<3+2=5>>5 packs of water balloons.
So there is a total of 5 packs of water balloons * 6 balloons per pack of water balloons = <<5*6=30>>30 water balloons available.
As they split them evenly, they each have 30 water balloons / 2 = <<30/2=15>>15 water balloons.
After Milly steals some balloons, Floretta is left with 15 – 7 = <<15-7=8>>8 water balloons.
#### 8",2,3837
6499,6499,"Tricia is a third of Amilia’s age and Amilia is a quarter of Yorick’s age. Yorick is twice Eugene’s age and Khloe is a third of Eugene’s age. Rupert is 10 years older than Khloe but 2 years younger than Vincent who is 22 years old. How old, in years, is Tricia?","Rupert is younger than Vincent by 2 years, so he is 22 years old – 2 years = <<22-2=20>>20 years old.
Khloe is 10 years younger than Rupert so she is 20 years old – 10 years = 10 years old.
Eugene is 3 times older than Khloe so he is 10 years old * 3 = <<10*3=30>>30 years old.
Yorick is twice Eugene’s age so he is 30 years old * 2 = <<30*2=60>>60 years old.
Amilia is a quarter of Yorick’s age so she is 60 years old / 4 = <<60/4=15>>15 years old.
Tricia is a third of Amilia’s age so she is 15 years old / 3 = <<15/3=5>>5 years old.
#### 5",3,2287
3941,3941,"Timmy plans to ride a skateboard ramp that is 50 feet high. He knows he needs to go 40 mph at the start to make it all the way to the top. He measures his speed on three trial runs and goes 36, 34, and 38 mph. How much faster does he have to go than his average speed to make it up the ramp?","His total speed from the trials is 108 because 36 + 34 + 38 = <<36+34+38=108>>108
His average speed was 36 mph because 108 / 3 = <<108/3=36>>36
He needs to go 4 mph faster to make it to the top because 40 - 36 = <<40-36=4>>4.
#### 4",4,135
