question	answers
Three birds are flying at a fast rate of 900 kilometers per hour. What is their speed in miles per minute? [1km = 0.6 miles]	 E
A ship is leaving a port. It takes 240 seconds to passes through a 750m channel to get to the port gates, and takes 60 seconds to pass through the gates of the port. What is its length?	 A)100 m
A rectangular piece of cloth 2 feet wide was cut lengthwise into two smaller rectangular pieces. The shorter piece was one-third of the length of the longer of the 2 new pieces and had an area of 12 square feet. What was the length Q in feet of the original piece of cloth before cutting?	 B
In the xy-coordinate plane, which of the following points must lie on the line kx + 2y = 6 for every possible value of k?	"Rationale: To find the point that must lie on the line for every possible value of k, we can substitute different points into the equation and check which one satisfies it for all values of k.

Let's substitute each given point into the equation kx + 2y = 6:

For point (1,1):
k(1) + 2(1) = 6
k + 2 = 6
k = 4

For point (0,3):
k(0) + 2(3) = 6
0 + 6 = 6

For point (2,0):
k(2) + 2(0) = 6
2k = 6
k = 3

For point (3,6):
k(3) + 2(6) = 6
3k +12=6

For point (6,3):
K*5+9=7


From these calculations:
- Point (0,3): Works for all values of k.
- Point (2,0): Works for all values of k.
Therefore, points that must lie on the line for every possible value of k are (0,3), which is option B.

Answer"
A travel company wants to charter a plane to the Bahamas. Chartering the plane costs $5,000. So far, 12 people have signed up for the trip. If the company charges $200 per ticket, how many more passengers must sign up for the trip before the company can make any profit on the charter?	 C)13
Kirk sells cars. On two sales, Kirk has received commissions of $850, and $705, and he has one additional sale pending. If Kirk is to receive an average (arithmetic mean) commission of exactly $820 on the three sales, then the third commission must be:	" B

Test Question: A rectangular garden has a length that is twice its width. If the perimeter of the garden is 24 meters, what is the area of the garden?
O: ['A)36 sq meters', 'B)48 sq meters', 'C)60 sq meters', 'D)72 sq meters', 'E)84 sq meters']"
A group of 5 friends were to contribute equally to purchase items from a store. If store offered them a promotional discount of 15%, how much did each friend pay, given a total bill of $ 1200?	 E
"Let A, B and C denote the vertices of a triangle with area 10. Let point D be on side AB,
point E be on side BC and point F be on side CA with AD = 2 and DB = 3. The area of
△ABE and the area of quadrilateral DBEF are the same. What is the value of this area?"	 B)6
ABC company pays an average of $120 per vehicle each month in outdoor parking fees for three of its eight vehicles. The company pays garage parking fees for the remaining five vehicles. If ABC pays an average of $240 per vehicle overall each month for parking, how much does ABC pay per month in garage parking fees for its vehicles?	 A)300
Solution A has 5% salt concentration and remaining water. After heating 50 litres of Solution A at a certain temperature, due to evaporation, the salt concentration increases to 10%. The amount of water remaining in the solution would be	 E)20 litres
If a number of apples, say x, is divisible by 3 and 9, x is a multiple of which of the following values?	" B)27

Test Question:
Q: If a rectangle has a length of 12 units and an area of 96 square units, what is its width?
O: ['A)6', 'B)7', 'C)8', 'D)10', 'E)11']"
In how many arrangements can you arrange 3 green cones and 3 blue cones in a line along the boundary of football ground if no two cones of the same color are to be adjacent?	 A)6
In a mixture, the ratio of spirit and water is 3:2. If the amount of spirit is 3 litre more than amount of water, calculate the amount of spirit in mixture?	 B) $9
A car traveled 40 mph from Belnap to Lincoln and 50 mph from Lincoln to Belnap. If the whole trip was 660 miles, how long did the round trip take?	 B)14.85 hours
In a certain conservative mutual fund, 60 percent of the money is invested in bonds, and of that portion, 40 percent is invested in highly rated corporate bonds. If at least $2.4 million in this fund is invested in highly rated corporate bonds, what is the smallest possible total value for the mutual fund?	 B
A certain state imposes a 4% tax on the nightly rates of hotel room. A certain hotel in this state also charges a $2.00 nightly fee per room, which is not subject to tax. If the total charge for a room for one night was $72.72 , what was the nightly rate of the room?	 A
Alex has enough money to buy 30 bricks. If the bricks each cost 20 cents less, Grace could buy 10 more bricks. How much money does Grace have to spend on bricks?	 B
In a poll of 45,000 dentists, only 30 percent responded; of these, 20 percent claimed to prefer Toothpaste A. How many of the dentists who responded did not claim a preference for Toothpaste A?	 E
"In recent Malta elections, in a particular constituency, 100,000 votes were cast and each vote was cast for
either Candidate A or Candidate B. If candidate A has won by 500 votes, what percent of the 100,000 votes
were cast for Candidate A?"	 E)52.5%
Glenn gains 10% from selling her scarf at $44. Her mom tells her she'll buy it from her but only after a family discount of 5%. What is Glenn's gain percent if she sells the scarf to her mom?	 B)4.5%
A trader bought some books for Rs 8 each. The wholesaler gave 15% discount on each of the books. If the discount amount deducted on the bill was Rs 216, how many books did he buy?	 A)180
"Elliot has $1500 to buy a new laptop. His father gave him another $600 for a better model. Elliot saw a new mobile and he decided to by it for 400$. Also, he bought a laptop for $1300
How much money had Elliot left with?"	" B) \$400

Test Question:
Q: A school has 120 students in total. If 25% of the students are in Grade 9 and 40% of the students are in Grade 10, how many students are not in Grade 9 or Grade 10?
O: ['A)30', 'B)45', 'C)60', 'D)75', 'E)90']"
Bill's shop sells candy bars by the full case. 80% of a full case is added to 96 candy bars already in the case to fill it. How many candy bars are in a full case?	 E
Lucy has enough money to go to Canada every 6 years, while Luke has enough to go every 9 years. If they pool their money, how often can they go?	 B) once every 15 years
A group of stock analysts had a contest. Each analyst picked 5 stocks out of a list of 30 stocks to purchase. If each of the stocks was picked exactly 6 times, how many analysts were in the contest?	 C
Which is a longer period of time: 3 hours or 175 minutes?	 D)175 minutes
The root(s) of 15/(x2 - 4) – 2/(x - 2) = 1 is (are):	 A) -5 and B)3
A farming field can be ploughed by 6 tractors in 4 days. When 6 tractors work together, each of them ploughs 120 hectares a day. If two of the tractors were moved to another field, then the remaining 4 tractors could plough the same field in 5 days. How many hectares a day would one tractor plough then?	"Rationale: Let's denote the rate at which one tractor ploughs a field in x hectares per day.

From the given information, we know that when 6 tractors work together, each of them ploughs 120 hectares a day. So, the total rate when all 6 tractors work together is 6 * 120 = 720 hectares per day.

We are also given that if two of the tractors were moved to another field, then the remaining 4 tractors could plough the same field in 5 days. This means that with only 4 tractors working, they can still complete the job at a rate of x hectares per day over those five days.

Therefore, for these four tractors working alone for five days to complete the job at a total rate of x hectares per day, we have:

4 * x * 5 = Total area plowed by four tractors in five days

Given that this total area is equal to what all six tractors would have done in four days (720), we can set up an equation:

4x * 5 = 720
20x = 720
x = \(\frac{720}{20}\)
x = \(36\)

Therefore, each tractor would"
On sports day, if 24 children were made to stand in a column, then 10 columns could be formed. If 240 children were made to stand in a column, then how many columns could be formed?	 E)100
The salaries of Kiran, Prakash and Sanjay are in the ratio of 2 : 3 : 4. The salary of Prakash and Sanjay together is Rs. 56000. The manager plans to increment the salary of Prakash from his current package and does so by increasing his salary so that it is 1 rupee more than that of Sanjay. Now, if Kiran wishes to demand a salary that will surpass Prakash's by 1 Rupee, how much he should demand ?	 A)Rs.16002
A wholesaler allows a discount of 20 % on the list price to the retailer. The retailer sells at 5% below the list price. If the customer pays Rs.19 for an article what profit is made by the retailer on it?	 B)Rs.3
"A cube shaped pool is half full of water. If the water is 36 inches deep, how much would the
water in the pool weigh if the pool were filled to the brim? (1 cubic foot weighs 56 pounds)"	"Rationale: 
The volume of the cube-shaped pool can be calculated using the formula V = s^3, where s is the side length of the cube. Since it is given that the pool is half full of water and the depth of water is 36 inches, we can find the side length of the cube as follows:

Let x be the side length of the cube.
Volume filled with water = (1/2) * x^2 * 36
Volume when completely filled = x^3

Given that 1 cubic foot weighs 56 pounds, we need to convert cubic inches to cubic feet:
1 cubic foot = 12*12*12 = 1728 cubic inches

Now, we can set up an equation to find x:
(1/2) * x^2 * 36 / 1728 = x^3 / 1728
Solving this equation will give us the value of x.

Once we have found x, we can calculate how much would the water in a completely filled pool weigh by finding its volume in cubic feet and then multiplying by weight per cubic foot.

Test Question: A cube-shaped pool is half full of water. If the water is 36 inches deep, how much would the water in a"
A car after covering 1/2 of a journey of 100 km develops engine trouble and later travels at 1/2 of its original speed. As a result, it arrives 2 hours late than its normal time. What is the normal speed of the car is?	 [INS]
"A sphere is surrounded by the smallest cylinder that will just contain it. Which of following is a complete set of the points where the cylinder touches the sphere?
I. One point,
II. Two points,
III. A Circle"	" A)I only

Test Question: 
Q: If 3x + 4y = 24 and x - y = 2, what is the value of x?
O: ['A)6', 'B)8', 'C)10', 'D)12', 'E)14']"
At an elite baseball camp, 60% of players can bat both right-handed and left-handed. If 1/3 of the players who bat left-handed do not bat right-handed, what is the probability that a player selected at random does not bat left-handed?	"Rationale: Let's break down the information given:
- 60% of players can bat both right-handed and left-handed.
- 1/3 of the players who bat left-handed do not bat right-handed.

Let's assume there are 100 players in total for easier calculations:
- 60 players can bat both ways.
- Let x be the number of players who can only bat left-handed, then (1/3)x cannot bat right-handed.

So, the total number of players who can't bat left-handed would be:
Total Players - (Players who can only bat left-handed) = 100 - x

Now we need to find out what percentage this is out of the total number of players (100):
Percentage = [(100 - x) / 100] * 100%

We know that x + 60 represents all the left-hand batters. Since it was given that they make up a third of all batters, we have:
x + 60 = (1/3)(x + 60)

Solving this equation gives us x = 40. So, there are a total of (100 - x) = 60 players who do not bat left-handed.

Plugging back into our percentage formula:
Percentage = [(100"
One person has 2 children. At least one of them was a girl. Then the probability that 2 of the are girl is_____	" B) 1/3

Test Question:
Q: A box contains 5 red balls and 7 blue balls. If two balls are drawn randomly without replacement, what is the probability that both balls are red?
O: ['A)5/12', 'B)7/12', 'C)5/11', 'D)2/13', 'E)7/30']"
During a particular year in city X, there were an average (arithmetic mean) of 16,000 car accidents per day on weekends and an average of 40,000 per day on each of the other days of the week. Which of the following is nearest to the total number of accidents last year?	 D)12.1 million
A man earns RS. 20 on the first day and spends Rs. 15 on the next day. He again earns Rs. 20 on the third day and spends Rs. 15 on the fourth day. If he continues to save like this, how soon will he have Rs. 60 in hand?	 D) on the 40th day
Money is paid into an account in portions of $500 and paid out in portions of $300. If after a month the account grew by $1,200, what is the least possible number of transactions that could have been made?	 A)3
