,question,options,rationale,correct,cluster,index
6157,"To complete a work A and B takes 8 days, B and C takes 12 days, A,B and C takes 6 days. How much
time A and C will take","['A)24 days', 'B)16 days', 'C)12 days', 'D)8 days', 'E)None of these']","Explanation:
A+B 1 day work = 1/8
B+C 1 day work = 1/12
A+B+C 1 day work = 1/6
We can get A work by (A+B+C)-(B+C)
And C by (A+B+C)-(A+B)
So A 1 day work =
16−112=112
Similarly C 1 day work =
16−18=4−324=124
So A and C 1 day work =
112+124=324=18
So A and C can together do this work in 8 days
Answer: D",D,0,45754
31217,"If the sides of a triangle are 26 cm, 24 cm and 10 cm, what is its area?","['A)120', 'B)882', 'C)662', 'D)4112', 'E)2322']","The triangle with sides 26 cm, 24 cm and 10 cm is right angled, where the hypotenuse is 26 cm.
Area of the triangle = 1/2 * 24 * 10 = 120 cm2
Answer: A",A,1,38541
70883,A man can row downstream at 18 kmph and upstream at 10 kmph. Find the speed of the man in still water and the speed of stream respectively?,"['A)2', 'B)9', 'C)7', 'D)4', 'E)3']","Let the speed of the man in still water and speed of stream be x kmph and y kmph respectively.
Given x + y = 18 --- (1)
and x - y = 10 --- (2)
From (1) & (2) 2x = 28 => x = 14, y = 4.
Answer:D",D,2,47569
30501,"If (x/y)=(10/5), find the value (x^2+y^2)/(x^2-y^2)","['A)5/3', 'B)59/11', 'C)51/77', 'D)41/11', 'E)None of them']","= (x^2+y^2)/(x^2-y^2) = ( x^2 /y^2+ 1)/ ( x^2 /y^2-1) = [(10/5)^2+1] / [(10/5)^2-1]
= [(100/25)+1] / [(100/25)-1] = 5/3
Answer is A.",A,3,22252
9136,"Lagaan is levied on the 60 percent of the cultivated land. The revenue department collected total Rs. 3,84,000 through the lagaan from the village of Mettur. Mettur, a very rich farmer , paid only Rs.480 as lagaan. The percentage of total land of Mettur over the total taxable land of the village is:","['A)0.20833', 'B)1.23455', 'C)2.45466', 'D)5.54353', 'E)6.45343']","Total land of Sukhiya = \inline \frac{480x}{0.6} = 800x
\therefore Cultivated land of village = 384000x
\therefore Required percentage = \inline \frac{800x}{384000}\times 100 = 0.20833
A",A,4,49013
92277,"There are three different pipes used to fill a pool: pipe x, pipe y, and pipe z. Pipe x can fill the pool in a days, pipe y in b days, and pipe z in c days, where a > b > c. When all three pipes are used together to fill a pool, it takes d days to fill the pool. Which of the following must be true?
I. d<c
II. d>b
III. c/3<d<a/3","['A)II', 'B)I', 'C)III', 'D)I&II', 'E)II &III']","Name T = full pool
X fills a pool in a days ==> 1 day X fills: T/a
Y fills a pool in b days ==> 1 day Y fills: T/b
Z fills a pool in c days ==> 1 day Z fills: T/c
1 day (X+Y+Z) together fill: T(1/a + 1/b + 1/c)
d days (X+Y+Z) together fill: T
==> d = Tx1 / T(1/a+1/b+1/c) = abc/(ab+bc+ca)
A
==>d = abc/(ab+bc+ca)
d cannot be greater than c ; d is greater than b ; d is greater than c/3 but not less than a/3",A,0,56016
80591,The sum of how many terms of the series 6 + 12 + 18 + 24 + … is 1800,"['A)16', 'B)22', 'C)24', 'D)18', 'E)26']","Let the number of terms be N.
Then, according to the formula,
=> 1800 = N/2[2A+(N-1)D] , where A = First-Term, D = Common-Difference.
=> 3600 = N[12 + (N-1)6]
=> 3600 =N[6 + 6N]
=> 6N^2 + 6N - 3600 = 0.
=> 6N^2 + 150N - 144n - 3600 = 0
=> 6N(N + 25)-144(N+25)
=> N = -25, 24
Hence, the number of terms is 24.
ANSWER:B",B,1,53767
67807,How much time does a train 100 metres long running at 72 km/hr take to pass a pole?,"['A)7.9s', 'B)2.5s', 'C)5s', 'D)7.6s', 'E)7.4s']","Explanation:
72 km/hr = 72 * 5/18 = 20 m/s
Speed = distance/time; v = d/t
20 = 100/t
t = 5s
ANSWER: C",C,2,51519
49693,Two dice are thrown together. What is the probability that the sum of the number on the two faces is divisible by 4?,"['A)2/9', 'B)1/9', 'C)1/4', 'D)1/3', 'E)1/2']","Clearly n(S) = 6 x 6 = 36
Let E be the event that the sum of the numbers on the two faces is divided by 4.
E= {(1,3), (2,2), (2,6), (3,1), (3,5), (4,4), (5,3), (6,2), (6,6)}
n(E) = 9
Hence, P(E) = n(E)/n(S) = 9/36 = 1/4
ANSWER:C",C,3,36379
64956,A dishonest dealer professes to sell his goods at Cost Price but still gets 20% profit by using a false weight. What weight does he substitute for a kilogram?,"['A)833 1/7 grams', 'B)833 1/3 grams', 'C)833 8/3 grams', 'D)933 1/3 grams', 'E)833 1/4 grams']","If the cost price is Rs.100, then to get a profit of 20%, the selling price should be Rs.120.
If 120kg are to be sold, and the dealer gives only 100kg, to get a profit of 20%.
How many grams he has to give instead of one kilogram(1000 gm).
120 gm ------ 100 gm
1000 gm ------ ?
(1000 * 100)/120 = 2500/3 = 833 1/3 grams.
Answer:B",B,4,1420
